,districts,lat,lng
140,Ladysmith,45.4630231,-91.10403579999999
141,Lake Geneva-Genoa City UHS,42.5591871,-88.38219889999999
142,Lake Holcombe,45.2482706,-91.10244759999999
143,Lake Mills Area,43.1111381,-88.8838834
144,Lakeland UHS,45.9798496,-89.7677202
145,Lancaster Community,42.8225618,-90.7152749
146,Little Chute Area,44.2780585,-88.3093517
147,Lodi,43.313878,-89.5265093
148,Lomira,43.591382,-88.443713
149,Loyal,44.7369073,-90.4959724
150,Luck,45.57606639999999,-92.4827001
151,Luxemburg-Casco,44.5654945,-87.7369607
152,Madison Metropolitan,43.0470061,-89.389057
153,Manawa,44.4644255,-88.9198289
154,Manitowoc,44.0886059,-87.657584
155,Maple,46.5895709,-91.72078560000001
156,Marathon City,44.9304719,-89.8402105
157,Marinette,45.0999849,-87.6306623
158,Marion,44.670812,-88.88927199999999
159,Markesan,43.7072047,-88.9901122
160,Marshall,43.1683286,-89.0667775
161,Marshfield Unified,44.6688524,-90.1717987
162,Mauston,43.7971946,-90.0773495
163,Mayville,43.4941611,-88.5448237
164,McFarland,43.0124984,-89.2898397
165,Medford Area Public,45.1863864,-90.3393957
166,Melrose-Mindoro,44.1295033,-91.02032240000001
167,Menasha Joint,44.2022084,-88.44649729999999
168,Menomonee Falls,43.1788618,-88.1174594
169,Menomonie Area,44.8713797,-91.949021
170,Mequon-Thiensville,43.253931,-87.9922684
171,Mercer,46.1656066,-90.0631732
172,Merrill Area,45.2241345,-89.773769
173,Middleton-Cross Plains Area,43.0942717,-89.5033358
174,Milton,42.7755645,-88.94399899999999
175,Milwaukee,43.0389025,-87.9064736
176,Milwaukee Academy of Science,43.0422552,-87.9395193
177,Mineral Point Unified,42.859997,-90.17984729999999
178,Mishicot,44.239162,-87.6411949
179,Mondovi,44.5678943,-91.6705186
180,Monona Grove,43.0748965,-89.18964299999999
181,Monroe,42.60111939999999,-89.6384532
182,Mosinee,44.7930232,-89.70317840000001
183,Mount Horeb Area,42.9803099,-89.7379958
184,Mukwonago,42.8631124,-88.332347
185,Muskego-Norway,42.8875239,-88.1291387
186,Necedah Area,44.0579334,-90.11206960000001
187,Neenah Joint,44.18372410000001,-88.46329569999999
188,Nekoosa,44.3124644,-89.9042937
189,New Berlin,42.9764549,-88.10838969999999
190,New Glarus,42.8144473,-89.6351217
191,New Holstein,43.9499924,-88.08426419999999
192,New Lisbon,43.8791358,-90.16540669999999
193,New London,44.3927582,-88.7398256
194,New Richmond,45.1230213,-92.5365865
195,Niagara,45.7713461,-87.9948467
196,Nicolet Union High School,43.7844397,-88.7878678
197,North Crawford,43.3653509,-90.7913227
198,North Fond du Lac,43.8113769,-88.4834419
199,Northern Ozaukee,43.4462211,-87.9530849
200,Northland Pines,45.9779426,-89.2991205
201,Northwood,43.7844397,-88.7878678
202,Oak Creek-Franklin Joint,42.9054496,-87.9266133
203,Oakfield,43.6861007,-88.5464951
204,Oconomowoc Area,43.1263884,-88.5178518
205,Oconto Falls Public,44.8738805,-88.1428798
206,Oconto Unified,44.8872124,-87.8645473
207,Omro,44.0394263,-88.7442772
208,Onalaska,43.8844092,-91.23513930000001
209,Oostburg,43.62277479999999,-87.7945323
210,Oregon,42.9261116,-89.38456339999999
211,Osceola,45.3205199,-92.7049303
212,Oshkosh Area,43.9920223,-88.57585739999999
213,Osseo-Fairchild,44.6591672,-90.9438468
214,Palmyra-Eagle Area,42.8941687,-88.59517509999999
215,Pardeeville Area,43.5778022,-89.3037147
216,Parkview,43.7844397,-88.7878678
217,Pecatonica Area,42.8247331,-89.8879304
218,Pepin Area,44.4916922,-92.18432849999999
219,Peshtigo,45.05443,-87.7492721
220,Pewaukee,43.0654628,-88.2058043
221,Phillips,45.6966257,-90.4004296
222,Pittsville,44.4391283,-90.12457599999999
223,Platteville,42.73416,-90.4784621
224,Plymouth Joint,43.7486054,-87.9770379
225,Port Edwards,44.3507979,-89.8654035
226,Port Washington-Saukville,43.4160758,-87.8844309
227,Portage Community,43.5980902,-89.5120084
228,Potosi,42.6894392,-90.71207129999999
229,Poynette,43.3902644,-89.4028963
230,Prairie du Chien Area,43.0531025,-91.09693999999999
231,Prentice,45.5460749,-90.2865388
232,Prescott,44.7488565,-92.8021471
233,Princeton,43.8508134,-89.12178279999999
234,Pulaski Community,44.6490279,-88.2071598
235,Racine Unified,42.7274074,-87.89424509999999
236,Randolph,43.5391527,-89.0067778
237,Random Lake,43.55222,-87.9617585
238,Reedsburg,43.5324809,-90.0026259
239,Reedsville,44.153604,-87.9567618
240,Rhinelander,45.6366228,-89.4120753
241,Rice Lake Area,45.5495929,-91.748972
242,Richland,43.3347053,-90.3867928
243,Rio Community,43.4424865,-89.20867729999999
244,Ripon Area,43.8422049,-88.8359447
245,River Falls,44.8596311,-92.62549659999999
246,River Ridge,42.9785116,-88.22968689999999
247,River Valley,43.2133937,-90.11206960000001
248,Riverdale,43.212065,-90.563609
249,Rosendale-Brandon,43.8214136,-88.6723578
250,Rosholt,44.6277509,-89.3087256
251,Royall,43.7844397,-88.7878678
252,Saint Croix Central,44.9909055,-92.5214324
253,Saint Croix Falls,45.4099615,-92.63965089999999
254,Saint Francis,42.9716437,-87.8758939
255,Sauk Prairie,43.290671,-89.81303559999999
256,Seeds of Health Inc,43.7844397,-88.7878678
257,Seneca Area,43.7844397,-88.7878678
258,Sevastopol,44.8935949,-87.2877958
259,Seymour Community,44.5008171,-88.362785
260,Shawano,44.7822064,-88.60899169999999
261,Sheboygan Area,43.7782735,-87.74680710000001
262,Sheboygan Falls,43.7291617,-87.8106439
263,Shell Lake,45.7393928,-91.92545369999999
264,Shiocton,44.4447056,-88.5789903
265,Shorewood,43.0891787,-87.8875848
266,Shullsburg,42.5733354,-90.23096
267,Siren,45.7857818,-92.38102839999999
268,Slinger,43.333613,-88.28620649999999
269,Solon Springs,46.3532743,-91.8224113
270,Somerset,45.1244108,-92.6735365
271,South Milwaukee,42.9105722,-87.8606367
