COUNTY,STUDENTS_TESTED,EXAM_COUNT,EXAMS_3_OR_ABOVE,PERCENT_3_OR_ABOVE,Year
Taylor,85,126,75,59.52380952380953,2019-20
Trempealeau,138,187,106,56.68449197860963,2019-20
Vernon,107,153,99,64.70588235294117,2019-20
Vilas,88,139,110,79.13669064748201,2019-20
Walworth,931,1439,876,60.87560806115358,2019-20
Washburn,39,45,24,53.33333333333334,2019-20
Washington,1532,2750,2037,74.07272727272728,2019-20
Waukesha,6586,11506,8412,73.109681905093,2019-20
Waupaca,242,371,197,53.09973045822103,2019-20
Waushara,84,128,51,39.84375,2019-20
Winnebago,1012,1338,939,70.17937219730942,2019-20
Wood,689,1303,914,70.1458173445894,2019-20
Adams,24,39,6,15.38461538461538,2020-21
Ashland,31,39,10,25.64102564102564,2020-21
Barron,143,233,107,45.92274678111588,2020-21
Bayfield,7,7,3,42.85714285714285,2020-21
Brown,1856,2933,1963,66.92806000681895,2020-21
Buffalo,17,23,12,52.17391304347826,2020-21
Burnett,39,54,31,57.4074074074074,2020-21
Calumet,165,223,126,56.50224215246637,2020-21
Chippewa,395,521,329,63.14779270633397,2020-21
Clark,30,36,4,11.11111111111111,2020-21
Columbia,325,485,262,54.02061855670103,2020-21
Crawford,164,295,106,35.93220338983051,2020-21
Dane,5081,8768,5416,61.77007299270073,2020-21
Dodge,277,446,238,53.36322869955157,2020-21
Door,123,193,122,63.21243523316062,2020-21
Douglas,325,507,231,45.5621301775148,2020-21
Dunn,181,257,141,54.86381322957198,2020-21
Eau Claire,576,1104,778,70.47101449275362,2020-21
Fond du Lac,454,659,341,51.74506828528073,2020-21
Forest,15,16,10,62.5,2020-21
Grant,327,488,233,47.74590163934426,2020-21
Green,143,204,126,61.76470588235294,2020-21
Green Lake,26,34,17,50.0,2020-21
Iowa,72,103,63,61.16504854368932,2020-21
Iron,8,11,3,27.27272727272728,2020-21
Jackson,43,50,23,46.0,2020-21
Jefferson,671,1085,603,55.57603686635944,2020-21
Juneau,95,126,58,46.03174603174603,2020-21
Kenosha,1400,2281,1244,54.53748355984217,2020-21
Kewaunee,111,149,79,53.02013422818792,2020-21
La Crosse,761,1265,724,57.23320158102767,2020-21
Lafayette,100,154,45,29.22077922077922,2020-21
Langlade,47,63,19,30.15873015873016,2020-21
Lincoln,130,177,103,58.19209039548023,2020-21
Manitowoc,209,285,155,54.3859649122807,2020-21
Marathon,783,1238,720,58.15831987075929,2020-21
Marinette,87,109,52,47.70642201834863,2020-21
Marquette,18,25,4,16.0,2020-21
Milwaukee,5007,8721,4728,54.2139662882697,2020-21
Monroe,138,221,91,41.1764705882353,2020-21
Oconto,71,88,46,52.27272727272727,2020-21
Oneida,207,320,210,65.625,2020-21
Outagamie,1778,2994,1909,63.76085504342017,2020-21
Ozaukee,1603,3110,2143,68.90675241157557,2020-21
Pepin,50,74,41,55.4054054054054,2020-21
Pierce,268,360,227,63.05555555555556,2020-21
Polk,223,293,157,53.58361774744027,2020-21
Portage,404,617,431,69.85413290113452,2020-21
Price,51,67,43,64.17910447761194,2020-21
Racine,870,1507,880,58.39416058394161,2020-21
Richland,75,109,42,38.53211009174312,2020-21
Rock,985,1572,770,48.98218829516539,2020-21
Rusk,18,20,10,50.0,2020-21
Saint Croix,1114,1637,1082,66.09651802076971,2020-21
Sauk,574,892,466,52.24215246636771,2020-21
Sawyer,53,58,15,25.86206896551724,2020-21
Shawano,77,93,37,39.78494623655914,2020-21
Sheboygan,494,679,400,58.91016200294551,2020-21
Taylor,104,126,64,50.79365079365079,2020-21
Trempealeau,149,214,110,51.4018691588785,2020-21
Vernon,131,183,93,50.81967213114754,2020-21
Vilas,78,129,87,67.44186046511628,2020-21
Walworth,920,1509,939,62.22664015904572,2020-21
Washburn,37,45,20,44.44444444444444,2020-21
Washington,1467,2457,1846,75.13227513227513,2020-21
Waukesha,6409,11076,7838,70.76561935716866,2020-21
Waupaca,184,276,137,49.63768115942029,2020-21
Waushara,64,91,40,43.95604395604396,2020-21
Winnebago,836,1163,757,65.09028374892519,2020-21
Wood,565,1045,756,72.3444976076555,2020-21
Adams,37,52,9,17.30769230769231,2021-22
Ashland,15,24,15,62.5,2021-22
Barron,130,226,122,53.98230088495576,2021-22
Bayfield,8,10,6,60.0,2021-22
Brown,1859,2949,2114,71.68531705662937,2021-22
Buffalo,26,37,25,67.56756756756756,2021-22
Burnett,49,64,45,70.3125,2021-22
Calumet,202,290,182,62.75862068965517,2021-22
Chippewa,376,484,307,63.4297520661157,2021-22
Clark,34,42,10,23.80952380952381,2021-22
Columbia,346,496,300,60.48387096774194,2021-22
Crawford,158,251,98,39.04382470119522,2021-22
Dane,5245,9088,6296,69.27816901408451,2021-22
Dodge,304,474,252,53.16455696202532,2021-22
Door,123,225,169,75.11111111111111,2021-22
Douglas,271,411,222,54.01459854014598,2021-22
Dunn,151,207,147,71.01449275362319,2021-22
Eau Claire,674,1217,895,73.54149548069022,2021-22
Fond du Lac,488,727,386,53.0949105914718,2021-22
Forest,16,16,15,93.75,2021-22
Grant,279,427,278,65.10538641686183,2021-22
Green,159,222,140,63.06306306306306,2021-22
Green Lake,21,30,23,76.66666666666667,2021-22
Iowa,81,106,76,71.69811320754717,2021-22
Iron,16,26,14,53.84615384615385,2021-22
Jackson,56,66,22,33.33333333333334,2021-22
Jefferson,637,1056,643,60.89015151515152,2021-22
Juneau,96,114,44,38.59649122807018,2021-22
Kenosha,1274,1998,1251,62.61261261261262,2021-22
Kewaunee,95,128,97,75.78125,2021-22
La Crosse,692,1167,743,63.6675235646958,2021-22
Lafayette,85,118,52,44.06779661016949,2021-22
Langlade,33,44,23,52.27272727272727,2021-22
Lincoln,152,228,146,64.03508771929825,2021-22
Manitowoc,232,344,189,54.94186046511628,2021-22
Marathon,738,1199,833,69.47456213511259,2021-22
Marinette,117,146,79,54.10958904109589,2021-22
Marquette,29,46,27,58.69565217391305,2021-22
Milwaukee,5415,9300,5273,56.69892473118279,2021-22
Monroe,135,271,164,60.51660516605166,2021-22
Oconto,74,97,43,44.32989690721649,2021-22
Oneida,223,364,215,59.06593406593407,2021-22
Outagamie,1757,2875,1997,69.4608695652174,2021-22
Ozaukee,1650,3216,2367,73.60074626865672,2021-22
Pepin,29,43,21,48.83720930232558,2021-22
Pierce,278,392,261,66.58163265306122,2021-22
Polk,271,375,211,56.26666666666667,2021-22
Portage,430,657,466,70.92846270928463,2021-22
Price,56,79,53,67.0886075949367,2021-22
Racine,909,1566,889,56.76883780332057,2021-22
Richland,50,87,40,45.97701149425287,2021-22
Rock,988,1496,894,59.75935828877005,2021-22
Rusk,16,20,8,40.0,2021-22
Saint Croix,1096,1704,1189,69.77699530516432,2021-22
Sauk,600,907,518,57.11135611907387,2021-22
Sawyer,71,73,27,36.98630136986301,2021-22
Shawano,79,100,39,39.0,2021-22
Sheboygan,532,744,413,55.51075268817204,2021-22
Taylor,117,143,86,60.13986013986014,2021-22
Trempealeau,139,167,83,49.70059880239521,2021-22
Vernon,122,163,91,55.8282208588957,2021-22
Vilas,73,111,86,77.47747747747748,2021-22
Walworth,962,1511,904,59.82792852415619,2021-22
Washburn,31,34,20,58.8235294117647,2021-22
Washington,1424,2416,1850,76.5728476821192,2021-22
Waukesha,6329,11029,8202,74.36757638951855,2021-22
Waupaca,265,383,243,63.44647519582245,2021-22
Waushara,63,88,32,36.36363636363637,2021-22
Winnebago,809,1106,807,72.96564195298373,2021-22
Wood,552,943,692,73.38282078472959,2021-22
Adams,42,79,22,27.84810126582278,2022-23
Ashland,25,48,21,43.75,2022-23
Barron,115,178,93,52.24719101123596,2022-23
Bayfield,22,34,23,67.6470588235294,2022-23
Brown,1875,2903,2066,71.1677574922494,2022-23
Buffalo,16,26,21,80.76923076923077,2022-23
Burnett,67,88,48,54.54545454545455,2022-23
Calumet,162,236,174,73.72881355932203,2022-23
Chippewa,347,459,319,69.49891067538127,2022-23
Clark,22,32,9,28.125,2022-23
Columbia,341,511,308,60.27397260273973,2022-23
Crawford,167,266,101,37.96992481203007,2022-23
Dane,6049,10727,7508,69.99160995618533,2022-23
Dodge,323,515,323,62.71844660194175,2022-23
Door,151,252,171,67.85714285714286,2022-23
Douglas,266,406,223,54.92610837438424,2022-23
Dunn,158,219,167,76.25570776255708,2022-23
Eau Claire,734,1362,988,72.54038179148311,2022-23
Fond du Lac,565,814,481,59.09090909090909,2022-23
Forest,15,15,13,86.66666666666667,2022-23
Grant,336,533,326,61.16322701688556,2022-23
Green,166,260,200,76.92307692307692,2022-23
Green Lake,52,68,29,42.64705882352941,2022-23
Iowa,92,117,88,75.21367521367522,2022-23
Jackson,74,88,39,44.31818181818182,2022-23
Jefferson,661,1078,630,58.44155844155844,2022-23
Juneau,118,145,46,31.72413793103448,2022-23
Kenosha,1243,1874,1181,63.02027748132338,2022-23
Kewaunee,109,136,81,59.55882352941177,2022-23
La Crosse,751,1268,792,62.46056782334385,2022-23
Lafayette,84,161,83,51.5527950310559,2022-23
Langlade,52,68,30,44.11764705882353,2022-23
Lincoln,140,200,124,62.0,2022-23
Manitowoc,207,290,144,49.6551724137931,2022-23
Marathon,793,1288,835,64.82919254658385,2022-23
Marinette,96,116,64,55.17241379310344,2022-23
Marquette,30,44,31,70.45454545454545,2022-23
Milwaukee,6006,10137,5646,55.696951760876,2022-23
Monroe,156,307,187,60.91205211726384,2022-23
Oconto,104,127,44,34.64566929133859,2022-23
Oneida,229,331,195,58.91238670694864,2022-23
Outagamie,1931,3145,2196,69.82511923688395,2022-23
Ozaukee,1682,3240,2497,77.0679012345679,2022-23
Pepin,26,33,13,39.39393939393939,2022-23
Pierce,352,501,341,68.06387225548902,2022-23
Polk,264,334,184,55.08982035928144,2022-23
Portage,459,712,479,67.2752808988764,2022-23
Price,56,76,54,71.05263157894737,2022-23
Racine,879,1411,873,61.87101346562721,2022-23
Richland,64,92,65,70.65217391304348,2022-23
Rock,1082,1679,1001,59.61882072662299,2022-23
Rusk,21,24,15,62.5,2022-23
Saint Croix,1110,1675,1125,67.16417910447761,2022-23
Sauk,614,982,516,52.54582484725051,2022-23
Sawyer,82,94,35,37.23404255319149,2022-23
Shawano,89,109,38,34.86238532110092,2022-23
Sheboygan,505,695,421,60.57553956834533,2022-23
Taylor,122,171,103,60.23391812865497,2022-23
Trempealeau,167,220,131,59.54545454545455,2022-23
Vernon,110,155,89,57.41935483870968,2022-23
Vilas,77,109,86,78.89908256880734,2022-23
Walworth,973,1523,850,55.81089954038083,2022-23
Washburn,20,21,11,52.38095238095238,2022-23
Washington,1506,2494,1892,75.86206896551724,2022-23
Waukesha,6439,11372,8537,75.07034822370736,2022-23
Waupaca,334,460,243,52.82608695652174,2022-23
Waushara,60,90,38,42.22222222222222,2022-23
Winnebago,840,1122,780,69.5187165775401,2022-23
Wood,542,986,740,75.05070993914808,2022-23
