State,Grade Level,Total Scholar Awards,AP Scholar,AP Scholar  with Honor,AP Scholar with Distinction,AP International Diploma,AP Capstone Diploma,"AP Seminar 
and Research Certificate",,
,,20068,8971,4031,6599,34,184,249,,
MD     ,9th,49,40,4,5,0,0,0,,
MD     ,10th,2014,1310,460,244,0,0,0,,
MD     ,11th,7690,3140,1482,2959,1,49,59,,
MD     ,12th,9305,3404,1350,4237,11,229,74,,
MD     ,Not in HS,23,6,6,11,0,0,0,,
,,19081,7900,3302,7456,12,278,133,,
ME     ,10th,41,35,4,2,0,0,0,,
ME     ,11th,493,283,115,78,0,5,12,,
ME     ,12th,1082,523,210,335,1,13,0,,
ME     ,Not in HS,2,0,2,0,0,0,0,,
ME     ,Not yet in 9th,1,0,0,1,0,0,0,,
,,1619,841,331,416,1,18,12,,
MI     ,9th,67,55,10,1,0,0,1,,
MI     ,10th,812,543,143,124,0,0,2,,
MI     ,11th,5920,2950,1454,1428,0,32,56,,
MI     ,12th,9572,4082,1712,3522,6,176,74,,
MI     ,Not in HS,24,7,8,6,0,3,0,,
MI     ,Not yet in 9th,1,1,0,0,0,0,0,,
,,16396,7638,3327,5081,6,211,133,,
MN     ,9th,90,66,14,10,0,0,0,,
MN     ,10th,1175,744,250,181,0,0,0,,
MN     ,11th,4249,1922,962,1353,1,6,5,,
MN     ,12th,5283,2246,915,2002,6,76,38,,
MN     ,Not in HS,15,7,2,5,0,1,0,,
,,10812,4985,2143,3551,7,83,43,,
MO     ,9th,5,3,1,1,0,0,0,,
MO     ,10th,164,130,22,10,0,0,2,,
MO     ,11th,2605,1307,662,600,0,16,20,,
MO     ,12th,3765,1425,652,1546,9,79,54,,
MO     ,Not in HS,4,1,1,2,0,0,0,,
,,6543,2866,1338,2159,9,95,76,,
MS     ,9th,1,1,0,0,0,0,0,,
MS     ,10th,85,64,20,1,0,0,0,,
MS     ,11th,501,312,81,105,0,0,3,,
MS     ,12th,863,389,147,260,0,37,30,,
MS     ,Not in HS,1,0,1,0,0,0,0,,
,,1451,766,249,366,0,37,33,,
MT     ,9th,1,1,0,0,0,0,0,,
MT     ,10th,34,30,3,1,0,0,0,,
MT     ,11th,280,152,75,53,0,0,0,,
MT     ,12th,604,270,118,199,1,14,2,,
,,919,453,196,253,1,14,2,,
NC     ,9th,36,31,2,3,0,0,0,,
NC     ,10th,2214,1425,488,300,0,0,1,,
NC     ,11th,8581,3808,1906,2479,0,128,260,,
NC     ,12th,12075,5138,1832,4490,7,403,205,,
NC     ,Not in HS,13,8,0,5,0,0,0,,
NC     ,Not yet in 9th,2,0,1,1,0,0,0,,
,,22921,10410,4229,7278,7,531,466,,
ND     ,10th,39,29,6,3,0,0,1,,
ND     ,11th,241,126,43,40,0,9,23,,
ND     ,12th,407,191,81,131,0,4,0,,
,,687,346,130,174,0,13,24,,
NE     ,9th,3,3,0,0,0,0,0,,
NE     ,10th,133,91,31,11,0,0,0,,
NE     ,11th,888,467,233,187,1,0,0,,
NE     ,12th,1152,531,207,390,0,22,2,,
NE     ,Not in HS,2,0,1,1,0,0,0,,
,,2178,1092,472,589,1,22,2,,
NH     ,9th,4,2,1,1,0,0,0,,
NH     ,10th,59,31,16,12,0,0,0,,
