State,Grade Level,Total Scholar Awards,Scholar,Honor,Distinction,International Diploma ,Capstone Diploma,Capstone Certificate,,,
ME,Not in HS,1,1,0,0,0,0,0,,,
,,1308,652,301,329,1,10,15,,,
MI,9th,23,21,2,0,0,0,0,,,
MI,10th,547,384,102,61,0,0,0,,,
MI,11th,4916,2549,1144,1125,0,37,61,,,
MI,12th,7730,3209,1530,2831,5,119,36,,,
MI,Not in HS,11,2,1,7,0,1,0,,,
,,13227,6165,2779,4024,5,157,97,,,
MN,9th,59,42,13,4,0,0,0,,,
MN,10th,749,468,164,117,0,0,0,,,
MN,11th,3533,1716,851,964,1,1,0,,,
MN,12th,4653,1825,841,1888,8,66,25,,,
MN,Not in HS,6,1,1,3,0,1,0,,,
,,9000,4052,1870,2976,9,68,25,,,
MO,9th,7,7,0,0,0,0,0,,,
MO,10th,110,74,23,9,0,0,4,,,
MO,11th,2238,1212,560,440,0,7,19,,,
MO,12th,3234,1259,579,1286,4,66,40,,,
MO,Not in HS,1,1,0,0,0,0,0,,,
,,5590,2553,1162,1735,4,73,63,,,
MS,9th,1,1,0,0,0,0,0,,,
MS,10th,62,50,8,4,0,0,0,,,
MS,11th,465,282,99,84,0,0,0,,,
MS,12th,676,334,125,184,0,16,17,,,
MS,Not in HS,3,1,1,0,0,0,1,,,
,,1207,668,233,272,0,16,18,,,
MT,9th,1,0,1,0,0,0,0,,,
MT,10th,19,18,1,0,0,0,0,,,
MT,11th ,279,173,62,43,0,1,0,,,
MT,12th,479,218,106,141,0,9,5,,,
,,778,409,170,184,0,10,5,,,
NC,9th,15,9,4,2,0,0,0,,,
NC,10th,1239,903,193,137,0,0,6,,,
NC,11th,7184,3411,1555,1854,0,118,246,,,
NC,12th,9301,3809,1460,3604,6,295,127,,,
NC,Not in HS,9,5,2,2,0,0,0,,,
NC,Not yet in 9th,1,1,0,0,0,0,0,,,
,,17749,8138,3214,5599,6,413,379,,,
ND,10th,22,18,3,1,0,0,0,,,
ND,11th,185,104,40,41,0,0,0,,,
ND,12th,311,150,69,92,0,0,0,,,
ND,Not in HS,2,1,0,1,0,0,0,,,
,,520,273,112,135,0,0,0,,,
NE,9th,6,5,0,1,0,0,0,,,
NE,10th,79,55,15,9,0,0,0,,,
NE,11th,775,450,189,135,0,1,0,,,
NE,12th,938,449,166,318,2,2,1,,,
,,1798,959,370,463,2,3,1,,,
NH,9th,2,0,0,2,0,0,0,,,
NH,10th,59,32,14,12,0,0,1,,,
NH,11th,395,244,62,89,0,0,0,,,
NH,12th,835,372,174,287,1,0,1,,,
NH,Not in HS,3,1,1,1,0,0,0,,,
,,1294,649,251,391,1,0,2,,,
NJ,9th,8,5,1,2,0,0,0,,,
NJ,10th,421,313,67,41,0,0,0,,,
NJ,11th,6809,3243,1596,1721,0,60,189,,,
NJ,12th,12031,4311,2262,5147,19,198,94,,,
NJ,Not in HS,13,6,1,6,0,0,0,,,
NJ,Not yet in 9th,3,1,1,1,0,0,0,,,
,,19285,7879,3928,6918,19,258,283,,,
NM,9th,1,0,0,1,0,0,0,,,
NM,10th,44,30,11,3,0,0,0,,,
NM,11th,402,221,78,94,0,3,6,,,
NM,12th,523,264,82,157,0,12,8,,,
,,970,515,171,255,0,15,14,,,
NV,9th,13,11,2,0,0,0,0,,,
NV,10th,238,162,52,23,0,0,1,,,
NV,11th,1334,632,253,331,0,58,60,,,
NV,12th,1770,749,260,636,1,92,32,,,
NV,Not yet in 9th,2,2,0,0,0,0,0,,,
,,3357,1556,567,990,1,150,93,,,
NY,9th,19,17,1,1,0,0,0,,,
NY,10th,1080,810,166,53,0,7,44,,,
NY,11th,13787,7048,3165,2430,0,317,827,,,
NY,12th,20557,8412,3804,7481,38,454,368,,,
NY,Not in HS,20,6,6,8,0,0,0,,,
,,35463,16293,7142,9973,38,778,1239,,,
OH,9th,7,5,2,0,0,0,0,,,
OH,10th,743,523,139,77,0,1,3,,,
OH,11th,6597,3111,1478,1736,0,131,141,,,
OH,12th,10072,4017,1826,3928,10,216,75,,,
OH,Not in HS,10,2,0,7,0,1,0,,,
,,17429,7658,3445,5748,10,349,219,,,
OK,9th,4,3,1,0,0,0,0,,,
OK,10th,75,57,11,7,0,0,0,,,
OK,11th,977,558,199,195,0,11,14,,,
OK,12th,1438,718,266,400,1,36,17,,,
OK,Not in HS,2,2,0,0,0,0,0,,,
OK,Not yet in 9th,1,1,0,0,0,0,0,,,
,,2497,1339,477,602,1,47,31,,,
OR,9th,9,4,2,3,0,0,0,,,
OR,10th,68,46,9,11,0,2,0,,,
OR,11th,765,437,149,163,2,6,8,,,
OR,12th,1397,582,266,522,6,15,6,,,
,,2239,1069,426,699,8,23,14,,,
PA,9th,24,18,3,3,0,0,0,,,
PA,10th,779,508,170,99,0,1,1,,,
PA,11th,6646,3101,1580,1763,0,82,120,,,
PA,12th,10286,3918,1911,4190,7,177,83,,,
PA,Not in HS,9,4,3,1,0,1,0,,,
,,17744,7549,3667,6056,7,261,204,,,
RI,9th,1,1,0,0,0,0,0,,,
RI,10th,19,13,3,3,0,0,0,,,
RI,11th,431,284,91,54,0,2,0,,,
RI,12th,855,414,171,267,3,0,0,,,
,,1306,712,265,324,3,2,0,,,
SC,9th,5,5,0,0,0,0,0,,,
SC,10th,756,541,135,43,0,22,15,,,
SC,11th,3155,1445,627,874,0,99,110,,,
SC,12th,3887,1571,657,1342,2,258,57,,,
SC,Not in HS,3,0,1,2,0,0,0,,,
,,7806,3562,1420,2261,2,379,182,,,
SD,9th,1,1,0,0,0,0,0,,,
SD,10th,60,45,14,1,0,0,0,,,
SD,11th,253,128,53,71,0,1,0,,,
SD,12th,372,151,64,154,1,0,2,,,
,,686,325,131,226,1,1,2,,,
TN,9th,10,9,1,0,0,0,0,,,
TN,10th,541,352,94,62,0,0,33,,,
TN,11th,3354,1609,704,882,1,66,92,,,
TN,12th,4483,1961,645,1621,6,185,65,,,
TN,Not in HS,10,3,0,6,0,1,0,,,
,,8398,3934,1444,2571,7,252,190,,,
TX,9th,206,182,16,8,0,0,0,,,
