"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2021-22","607","Barrow County","0101","Apalachee High School","U.S. History","19","19","7"
"2021-22","607","Barrow County","0101","Apalachee High School","World History","18","18","9"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","ALL Subjects","189","274","162"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Biology","TFS","TFS","TFS"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Calculus A","13","13","7"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Chemistry","TFS","TFS","TFS"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Computer Science Principles","19","19","7"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Economics: Micro","12","12","7"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Eng. Language & Comp","72","72","43"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Eng. Literature & Comp","19","19","16"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Environmental Science","13","13","9"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Geography: Human","36","36","26"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Physics 1","24","24","10"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Psychology","19","19","10"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Spanish Language","TFS","TFS","TFS"
"2021-22","607","Barrow County","3052","Winder-Barrow High School","Statistics","19","19","9"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","309","469","260"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design","TFS","TFS","TFS"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Biology","40","40","30"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Calculus A","13","13","7"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Capstone","16","16","15"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Chemistry","23","23","2"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Computer Science Principles","33","33","12"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro","13","13","7"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","72","72","43"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","31","31","25"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science","19","19","11"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human","59","59","38"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Physics 1","40","40","11"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Psychology","20","20","11"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Spanish Language","TFS","TFS","TFS"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Statistics","31","31","17"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","U.S. History","19","19","7"
"2021-22","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","World History","18","18","9"
"2021-22","608","Bartow County","0105","Adairsville High School","ALL Subjects","274","537","184"
"2021-22","608","Bartow County","0105","Adairsville High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"2021-22","608","Bartow County","0105","Adairsville High School","Biology","16","16","11"
"2021-22","608","Bartow County","0105","Adairsville High School","Calculus A","TFS","TFS","TFS"
"2021-22","608","Bartow County","0105","Adairsville High School","Calculus BC","TFS","TFS","TFS"
"2021-22","608","Bartow County","0105","Adairsville High School","Capstone","50","50","39"
"2021-22","608","Bartow County","0105","Adairsville High School","Chemistry","TFS","TFS","TFS"
"2021-22","608","Bartow County","0105","Adairsville High School","Computer Science Principles","19","19","8"
"2021-22","608","Bartow County","0105","Adairsville High School","Economics: Micro","48","48","5"
"2021-22","608","Bartow County","0105","Adairsville High School","Eng. Language & Comp","43","43","13"
"2021-22","608","Bartow County","0105","Adairsville High School","Eng. Literature & Comp","23","23","16"
"2021-22","608","Bartow County","0105","Adairsville High School","Environmental Science","55","55","12"
"2021-22","608","Bartow County","0105","Adairsville High School","Geography: Human","52","52","11"
"2021-22","608","Bartow County","0105","Adairsville High School","Gov. & Pol. U.S.","20","20","5"
"2021-22","608","Bartow County","0105","Adairsville High School","Physics 1","21","21","2"
"2021-22","608","Bartow County","0105","Adairsville High School","Psychology","22","22","6"
"2021-22","608","Bartow County","0105","Adairsville High School","Spanish Language","21","21","16"
"2021-22","608","Bartow County","0105","Adairsville High School","Statistics","TFS","TFS","TFS"
"2021-22","608","Bartow County","0105","Adairsville High School","U.S. History","46","46","11"
"2021-22","608","Bartow County","0105","Adairsville High School","World History","72","72","17"
"2021-22","608","Bartow County","0114","Cass High School","ALL Subjects","292","561","186"
"2021-22","608","Bartow County","0114","Cass High School","Biology","TFS","TFS","TFS"
"2021-22","608","Bartow County","0114","Cass High School","Calculus A","16","16","2"
"2021-22","608","Bartow County","0114","Cass High School","Chemistry","TFS","TFS","TFS"
"2021-22","608","Bartow County","0114","Cass High School","Computer Science A","TFS","TFS","TFS"
"2021-22","608","Bartow County","0114","Cass High School","Economics: Micro","52","52","28"
