name,city,stabbr,basic2021,enrprofile2021,sector,control,hbcu,hsi,msi,womens,selindex,rooms,ugtenr20,tribal
The School of Architecture,Paradise Valley,AZ,1,7,2,2,0,0,0,0,0.0,38,0,0
Glendale Community College,Glendale,AZ,0,1,4,1,0,1,1,0,,0,14374,0
Grand Canyon University,Phoenix,AZ,3,5,2,2,0,0,0,0,0.0,14780,63752,0
GateWay Community College,Phoenix,AZ,0,1,4,1,0,1,1,0,,0,4670,0
Mesa Community College,Mesa,AZ,0,1,4,1,0,0,0,0,,0,16948,0
Mohave Community College,Kingman,AZ,0,1,4,1,0,0,0,0,,0,3654,0
Dine College,Tsaile,AZ,33,2,1,1,0,0,1,0,1.0,281,1369,1
Northern Arizona University,Flagstaff,AZ,2,4,1,1,0,0,0,0,1.0,10144,25228,0
Northland Pioneer College,Holbrook,AZ,0,1,4,1,0,0,0,0,,0,2700,0
Ottawa University-Phoenix,Phoenix,AZ,4,6,2,2,0,0,0,0,1.0,0,396,0
Phoenix College,Phoenix,AZ,0,1,4,1,0,1,1,0,,0,9538,0
Pima Community College,Tucson,AZ,0,1,4,1,0,1,1,0,,0,15544,0
Pima Medical Institute-Tucson,Tucson,AZ,1,2,3,3,0,0,0,0,1.0,0,1970,0
Pima Medical Institute-Albuquerque,Albuquerque,NM,1,1,6,3,0,0,0,0,,0,606,0
Prescott College,Prescott,AZ,4,5,2,2,0,0,0,0,2.0,104,422,0
Refrigeration School Inc,Phoenix,AZ,1,1,6,3,0,0,0,0,,0,897,0
Rio Salado College,Tempe,AZ,0,1,4,1,0,0,0,0,,0,17362,0
Scottsdale Community College,Scottsdale,AZ,0,1,4,1,0,0,0,0,,0,7634,0
South Mountain Community College,Phoenix,AZ,0,1,4,1,0,0,0,0,,0,3497,0
Arizona Christian University,Glendale,AZ,5,2,2,2,0,0,0,0,1.0,499,925,0
Universal Technical Institute of Arizona Inc,Avondale,AZ,1,1,6,3,0,0,0,0,,0,1845,0
Yavapai College,Prescott,AZ,0,1,4,1,0,0,0,0,,216,6009,0
University of Arkansas at Little Rock,Little Rock,AR,2,5,1,1,0,0,0,0,1.0,1395,6568,0
University of Arkansas for Medical Sciences,Little Rock,AR,1,6,1,1,0,0,0,0,0.0,177,859,0
Arkansas Baptist College,Little Rock,AR,5,2,2,2,1,0,1,0,1.0,470,468,0
Lyon College,Batesville,AR,5,2,2,2,0,0,0,0,2.0,589,665,0
University of Arkansas,Fayetteville,AR,2,4,1,1,0,0,0,0,2.0,6232,22825,0
University of Arkansas at Pine Bluff,Pine Bluff,AR,5,3,1,1,1,0,1,0,1.0,1637,2507,0
Arkansas State University-Beebe,Beebe,AR,0,1,4,1,0,0,0,0,,248,2982,0
Arkansas State University,Jonesboro,AR,2,4,1,1,0,0,0,0,2.0,3642,8486,0
