name,city,stabbr,basic2021,enrprofile2021,sector,control,hbcu,hsi,msi,womens,selindex,rooms,ugtenr20,tribal
Trinity College of Nursing & Health Sciences,Rock Island,IL,1,4,2,2,0,0,0,0,0.0,0,178,0
Generations College,Chicago,IL,0,1,5,2,0,0,0,0,,0,276,0
McCormick Theological Seminary,Chicago,IL,1,7,2,2,0,0,0,0,0.0,0,0,0
McHenry County College,Crystal Lake,IL,0,1,4,1,0,0,0,0,,0,7814,0
McKendree University,Lebanon,IL,4,4,2,2,0,0,0,0,1.0,1032,1701,0
Meadville Lombard Theological School,Chicago,IL,1,7,2,2,0,0,0,0,0.0,0,0,0
Methodist College,Peoria,IL,1,3,2,2,0,0,0,0,0.0,88,557,0
Millikin University,Decatur,IL,5,3,2,2,0,0,0,0,1.0,901,1875,0
Monmouth College,Monmouth,IL,5,2,2,2,0,0,0,0,2.0,1400,860,0
Moody Bible Institute,Chicago,IL,1,4,2,2,0,0,0,0,1.0,1335,2161,0
Moraine Valley Community College,Palos Hills,IL,0,1,4,1,0,0,0,0,,0,11026,0
Morrison Institute of Technology,Morrison,IL,1,1,5,2,0,0,0,0,,132,79,0
Morton College,Cicero,IL,0,1,4,1,0,0,0,0,,0,3618,0
National Louis University,Chicago,IL,3,5,2,2,0,1,1,0,1.0,0,3604,0
National University of Health Sciences,Lombard,IL,1,6,2,2,0,0,0,0,0.0,124,43,0
North Central College,Naperville,IL,4,4,2,2,0,0,0,0,2.0,1333,2475,0
North Park University,Chicago,IL,4,4,2,2,0,0,0,0,1.0,975,1846,0
Northern Baptist Theological Seminary,Lisle,IL,1,7,2,2,0,0,0,0,0.0,0,0,0
Northern Illinois University,Dekalb,IL,2,4,1,1,0,0,0,0,2.0,4600,12277,0
Northwestern University,Evanston,IL,2,6,2,2,0,0,0,0,3.0,4114,8559,0
Northeastern Illinois University,Chicago,IL,4,4,1,1,0,1,1,0,0.0,426,5220,0
Oakton College,Des Plaines,IL,0,1,4,1,0,0,0,0,,0,7313,0
Olivet Nazarene University,Bourbonnais,IL,4,4,2,2,0,0,0,0,1.0,2571,2802,0
Parkland College,Champaign,IL,0,1,4,1,0,0,0,0,,0,5758,0
Prairie State College,Chicago Heights,IL,0,1,4,1,0,0,0,0,,0,2716,0
Principia College,Elsah,IL,5,2,2,2,0,0,0,0,2.0,580,340,0
Quincy University,Quincy,IL,5,3,2,2,0,0,0,0,1.0,745,1092,0
Rend Lake College,Ina,IL,0,1,4,1,0,0,0,0,,0,1802,0
Richland Community College,Decatur,IL,0,1,4,1,0,0,0,0,,0,2235,0
Rock Valley College,Rockford,IL,0,1,4,1,0,0,0,0,,0,5762,0
Rockford University,Rockford,IL,4,4,2,2,0,0,0,0,1.0,439,1019,0
Roosevelt University,Chicago,IL,3,5,2,2,0,0,0,0,1.0,763,3068,0
Dominican University,River Forest,IL,4,4,2,2,0,1,1,0,1.0,462,2166,0
Rush University,Chicago,IL,1,6,2,2,0,0,0,0,0.0,0,104,0
Saint Francis Medical Center College of Nursing,Peoria,IL,1,4,2,2,0,0,0,0,0.0,80,284,0
University of St Francis,Joliet,IL,3,5,2,2,0,0,0,0,1.0,435,1627,0
St. John's College of Nursing,Springfield,IL,1,3,2,2,0,0,0,0,0.0,0,107,0
Saint Xavier University,Chicago,IL,4,4,2,2,0,1,1,0,1.0,510,3080,0
University of Illinois Springfield,Springfield,IL,4,5,1,1,0,0,0,0,1.0,1110,2654,0
Sauk Valley Community College,Dixon,IL,0,1,4,1,0,0,0,0,,0,1386,0
Shawnee Community College,Ullin,IL,0,1,4,1,0,0,0,0,,0,1176,0
St. Augustine College,Chicago,IL,5,2,2,2,0,1,1,0,1.0,0,901,0
University of Saint Mary of the Lake,Mundelein,IL,1,7,2,2,0,0,0,0,0.0,230,0,0
Southeastern Illinois College,Harrisburg,IL,0,1,4,1,0,0,0,0,,0,1263,0
Spertus Institute for Jewish Learning and Leadership,Chicago,IL,1,7,2,2,0,0,0,0,0.0,0,0,0
Spoon River College,Canton,IL,0,1,4,1,0,0,0,0,,0,1239,0
Saint Anthony College of Nursing,Rockford,IL,1,4,2,2,0,0,0,0,1.0,0,210,0
Southern Illinois University-Carbondale,Carbondale,IL,2,4,1,1,0,0,0,0,1.0,4492,8299,0
Southern Illinois University-Edwardsville,Edwardsville,IL,3,4,1,1,0,0,0,0,2.0,3093,9942,0
Taylor Business Institute,Chicago,IL,0,1,6,3,0,0,0,0,,0,100,0
South Suburban College,South Holland,IL,0,1,4,1,0,0,0,0,,0,3366,0
Trinity Christian College,Palos Heights,IL,5,3,2,2,0,0,0,0,2.0,575,1015,0
Trinity International University-Illinois,Deerfield,IL,3,6,2,2,0,0,0,0,1.0,440,571,0
Triton College,River Grove,IL,0,1,4,1,0,1,1,0,,0,8819,0
VanderCook College of Music,Chicago,IL,1,6,2,2,0,0,0,0,1.0,0,82,0
Waubonsee Community College,Sugar Grove,IL,0,1,4,1,0,1,1,0,,0,7564,0
Oak Point University,Chicago,IL,1,3,2,2,0,0,0,0,0.0,0,671,0
Western Illinois University,Macomb,IL,4,4,1,1,0,0,0,0,1.0,2851,5854,0
Wheaton College,Wheaton,IL,5,4,2,2,0,0,0,0,3.0,2175,2265,0
William Rainey Harper College,Palatine,IL,0,1,4,1,0,0,0,0,,0,12199,0
Anderson University,Anderson,IN,4,3,2,2,0,0,0,0,1.0,1078,1205,0
Ball State University,Muncie,IN,2,4,1,1,0,0,0,0,1.0,7568,15780,0
Bethel University,Mishawaka,IN,4,3,2,2,0,0,0,0,1.0,751,1195,0
Butler University,Indianapolis,IN,4,4,2,2,0,0,0,0,3.0,2784,4492,0
Calumet College of Saint Joseph,Whiting,IN,4,4,2,2,0,1,1,0,1.0,46,556,0
Christian Theological Seminary,Indianapolis,IN,1,7,2,2,0,0,0,0,0.0,16,0,0
College of Court Reporting Inc,Valparaiso,IN,1,1,6,3,0,0,0,0,,0,123,0
Concordia Theological Seminary,Fort Wayne,IN,1,7,2,2,0,0,0,0,0.0,136,0,0
DePauw University,Greencastle,IN,5,2,2,2,0,0,0,0,2.0,1480,1752,0
Earlham College,Richmond,IN,5,3,2,2,0,0,0,0,2.0,935,736,0
University of Evansville,Evansville,IN,4,4,2,2,0,0,0,0,2.0,1315,2041,0
Franklin College,Franklin,IN,5,3,2,2,0,0,0,0,1.0,694,938,0
Goshen College,Goshen,IN,5,3,2,2,0,0,0,0,1.0,846,827,0
Grace College and Theological Seminary,Winona Lake,IN,4,3,2,2,0,0,0,0,2.0,1116,1587,0
Hanover College,Hanover,IN,5,2,2,2,0,0,0,0,2.0,1070,1028,0
Holy Cross College,Notre Dame,IN,5,2,2,2,0,0,0,0,3.0,320,455,0
Huntington University,Huntington,IN,4,4,2,2,0,0,0,0,1.0,632,1150,0
Ivy Tech Community College,Indianapolis,IN,0,1,4,1,0,0,0,0,,0,63809,0
Purdue University Fort Wayne,Fort Wayne,IN,4,3,1,1,0,0,0,0,1.0,1328,7584,0
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,2,4,1,1,0,0,0,0,1.0,2332,20966,0
University of Indianapolis,Indianapolis,IN,3,4,2,2,0,0,0,0,1.0,2757,4271,0
Indiana Institute of Technology,Fort Wayne,IN,4,5,2,2,0,0,0,0,2.0,678,1612,0
University of Southern Indiana,Evansville,IN,4,4,1,1,0,0,0,0,1.0,2665,8431,0
Indiana State University,Terre Haute,IN,3,4,1,1,0,0,0,0,1.0,4213,8938,0
Indiana University-Kokomo,Kokomo,IN,4,3,1,1,0,0,0,0,1.0,0,3016,0
Indiana University-South Bend,South Bend,IN,4,3,1,1,0,0,0,0,1.0,386,4375,0
Indiana University-Bloomington,Bloomington,IN,2,4,1,1,0,0,0,0,2.0,12461,32986,0
Indiana University-Northwest,Gary,IN,4,3,1,1,0,0,0,0,1.0,0,3414,0
Indiana University-Southeast,New Albany,IN,4,3,1,1,0,0,0,0,1.0,395,4090,0
Indiana University-East,Richmond,IN,4,3,1,1,0,0,0,0,1.0,0,3200,0
International Business College-Indianapolis,Indianapolis,IN,0,1,6,3,0,0,0,0,,83,269,0
Lincoln College of Technology-Indianapolis,Indianapolis,IN,1,1,6,3,0,0,0,0,,0,999,0
Manchester University,North Manchester,IN,4,4,2,2,0,0,0,0,2.0,999,1084,0
Marian University,Indianapolis,IN,3,5,2,2,0,0,0,0,2.0,1070,2566,0
Indiana Wesleyan University-Marion,Marion,IN,4,4,2,2,0,0,0,0,2.0,2500,2677,0
Martin University,Indianapolis,IN,5,4,2,2,0,0,0,0,1.0,0,170,0
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,1,7,2,2,0,0,0,0,0.0,47,0,0
Mid-America College of Funeral Service,Jeffersonville,IN,1,2,2,2,0,0,0,0,1.0,0,92,0
University of Notre Dame,Notre Dame,IN,2,5,2,2,0,0,0,0,3.0,7103,8874,0
Oakland City University,Oakland City,IN,3,4,2,2,0,0,0,0,1.0,328,1100,0
Rose-Hulman Institute of Technology,Terre Haute,IN,1,3,2,2,0,0,0,0,3.0,1279,1972,0
University of Saint Francis-Fort Wayne,Fort Wayne,IN,4,4,2,2,0,0,0,0,1.0,371,1753,0
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,4,4,2,2,0,0,0,0,1.0,324,761,0
Saint Mary's College,Notre Dame,IN,5,3,2,2,0,0,0,1,2.0,1285,1438,0
Saint Meinrad School of Theology,St. Meinrad,IN,1,7,2,2,0,0,0,0,0.0,141,0,0
Taylor University,Upland,IN,5,3,2,2,0,0,0,0,2.0,1588,2076,0
Trine University,Angola,IN,5,3,2,2,0,0,0,0,2.0,1706,3370,0
Valparaiso University,Valparaiso,IN,3,4,2,2,0,0,0,0,2.0,2033,2723,0
Vincennes University,Vincennes,IN,5,2,1,1,0,0,0,0,1.0,1802,16048,0
Wabash College,Crawfordsville,IN,5,2,2,2,0,0,0,0,2.0,933,868,0
Allen College,Waterloo,IA,1,5,2,2,0,0,0,0,0.0,0,374,0
Briar Cliff University,Sioux City,IA,3,4,2,2,0,0,0,0,1.0,571,817,0
Buena Vista University,Storm Lake,IA,4,3,2,2,0,0,0,0,2.0,839,1456,0
Central College,Pella,IA,5,2,2,2,0,0,0,0,1.0,1405,1120,0
Clarke University,Dubuque,IA,3,4,2,2,0,0,0,0,1.0,593,659,0
Coe College,Cedar Rapids,IA,5,2,2,2,0,0,0,0,2.0,1260,1394,0
Cornell College,Mount Vernon,IA,5,3,2,2,0,0,0,0,2.0,1060,999,0
Des Moines Area Community College,Ankeny,IA,0,1,4,1,0,0,0,0,,224,23051,0
Divine Word College,Epworth,IA,5,2,2,2,0,0,0,0,1.0,150,69,0
Dordt University,Sioux Center,IA,4,3,2,2,0,0,0,0,2.0,1311,1436,0
Drake University,Des Moines,IA,3,5,2,2,0,0,0,0,2.0,1758,2848,0
University of Dubuque,Dubuque,IA,4,4,2,2,0,0,0,0,1.0,939,1778,0
Ellsworth Community College,Iowa Falls,IA,0,1,4,1,0,0,0,0,,411,731,0
Emmaus Bible College,Dubuque,IA,5,2,2,2,0,0,0,0,1.0,268,194,0
Eastern Iowa Community College District,Davenport,IA,0,1,4,1,0,0,0,0,,72,7081,0
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,5,4,2,2,0,0,0,0,2.0,230,432,0
Graceland University-Lamoni,Lamoni,IA,4,5,2,2,0,0,0,0,1.0,747,959,0
Grand View University,Des Moines,IA,4,3,2,2,0,0,0,0,1.0,894,1694,0
Grinnell College,Grinnell,IA,5,2,2,2,0,0,0,0,3.0,1417,1493,0
Orion Technical College,Davenport,IA,1,2,3,3,0,0,0,0,1.0,0,120,0
Hawkeye Community College,Waterloo,IA,0,1,4,1,0,0,0,0,,0,5042,0
Indian Hills Community College,Ottumwa,IA,0,1,4,1,0,0,0,0,,648,3279,0
Iowa Central Community College,Fort Dodge,IA,0,1,4,1,0,0,0,0,,1090,4704,0
Iowa Lakes Community College,Estherville,IA,0,1,4,1,0,0,0,0,,507,2288,0
Iowa State University,Ames,IA,2,4,1,1,0,0,0,0,2.0,11653,26843,0
Iowa Wesleyan University,Mount Pleasant,IA,5,3,2,2,0,0,0,0,1.0,530,651,0
Iowa Western Community College,Council Bluffs,IA,0,1,4,1,0,0,0,0,,1248,5791,0
University of Iowa,Iowa City,IA,2,4,1,1,0,0,0,0,2.0,6660,22304,0
Kirkwood Community College,Cedar Rapids,IA,0,1,4,1,0,0,0,0,,0,12277,0
Loras College,Dubuque,IA,5,3,2,2,0,0,0,0,2.0,1059,1314,0
Luther College,Decorah,IA,5,2,2,2,0,0,0,0,2.0,2156,1802,0
Maharishi International University,Fairfield,IA,4,6,2,2,0,0,0,0,1.0,550,541,0
Marshalltown Community College,Marshalltown,IA,0,1,4,1,0,0,0,0,,152,1836,0
Mercy College of Health Sciences,Des Moines,IA,1,2,2,2,0,0,0,0,1.0,0,869,0
Morningside University,Sioux City,IA,4,5,2,2,0,0,0,0,2.0,808,1281,0
Mount Mercy University,Cedar Rapids,IA,4,4,2,2,0,0,0,0,2.0,441,1381,0
University of Arizona Global Campus,Chandler,AZ,3,4,2,2,0,0,0,0,1.0,0,25425,0
North Iowa Area Community College,Mason City,IA,0,1,4,1,0,0,0,0,,400,2681,0
University of Northern Iowa,Cedar Falls,IA,4,3,1,1,0,0,0,0,2.0,3700,8289,0
Northwestern College,Orange City,IA,4,4,2,2,0,0,0,0,2.0,995,1069,0
Northeast Iowa Community College,Calmar,IA,0,1,4,1,0,0,0,0,,0,4162,0
Northwest Iowa Community College,Sheldon,IA,0,1,4,1,0,0,0,0,,170,1666,0
Des Moines University-Osteopathic Medical Center,Des Moines,IA,1,7,2,2,0,0,0,0,0.0,0,0,0
Palmer College of Chiropractic,Davenport,IA,1,6,2,2,0,0,0,0,0.0,174,34,0
Saint Ambrose University,Davenport,IA,3,4,2,2,0,0,0,0,2.0,1654,2305,0
St Luke's College,Sioux City,IA,1,2,2,2,0,0,0,0,0.0,0,211,0
Simpson College,Indianola,IA,5,3,2,2,0,0,0,0,2.0,1264,1225,0
Southeastern Community College,West Burlington,IA,0,1,4,1,0,0,0,0,,249,2260,0
Southwestern Community College,Creston,IA,0,1,4,1,0,0,0,0,,221,1503,0
Upper Iowa University,Fayette,IA,4,4,2,2,0,0,0,0,0.0,752,3077,0
Waldorf University,Forest City,IA,4,3,3,3,0,0,0,0,1.0,493,2523,0
Wartburg College,Waverly,IA,5,3,2,2,0,0,0,0,1.0,1409,1562,0
Wartburg Theological Seminary,Dubuque,IA,1,7,2,2,0,0,0,0,0.0,44,0,0
Western Iowa Tech Community College,Sioux City,IA,0,1,4,1,0,0,0,0,,434,5360,0
William Penn University,Oskaloosa,IA,5,3,2,2,0,0,0,0,2.0,759,1276,0
Allen County Community College,Iola,KS,0,1,4,1,0,0,0,0,,264,2113,0
Baker University,Baldwin City,KS,3,4,2,2,0,0,0,0,1.0,576,1335,0
Barton County Community College,Great Bend,KS,0,1,4,1,0,0,0,0,,342,4094,0
Benedictine College,Atchison,KS,5,3,2,2,0,0,0,0,2.0,1538,2124,0
Bethany College,Lindsborg,KS,5,2,2,2,0,0,0,0,1.0,599,790,0
Bethel College-North Newton,North Newton,KS,5,2,2,2,0,0,0,0,1.0,438,484,0
Butler Community College,El Dorado,KS,0,1,4,1,0,0,0,0,,364,7175,0
Central Christian College of Kansas,McPherson,KS,5,2,2,2,0,0,0,0,1.0,300,629,0
Cloud County Community College,Concordia,KS,0,1,4,1,0,0,0,0,,361,1589,0
Coffeyville Community College,Coffeyville,KS,0,1,4,1,0,0,0,0,,593,1368,0
Colby Community College,Colby,KS,0,1,4,1,0,0,0,0,,276,1327,0
Cowley County Community College,Arkansas City,KS,0,1,4,1,0,0,0,0,,500,2475,0
Dodge City Community College,Dodge City,KS,0,1,4,1,0,1,1,0,,370,1459,0
Donnelly College,Kansas City,KS,5,2,2,2,0,1,1,0,1.0,0,336,0
Emporia State University,Emporia,KS,4,5,1,1,0,0,0,0,1.0,988,3181,0
Flint Hills Technical College,Emporia,KS,0,1,4,1,0,0,0,0,,0,1222,0
Fort Hays State University,Hays,KS,4,4,1,1,0,0,0,0,0.0,1731,12211,0
Barclay College,Haviland,KS,5,4,2,2,0,0,0,0,3.0,175,166,0
Friends University,Wichita,KS,4,4,2,2,0,0,0,0,1.0,402,1089,0
Fort Scott Community College,Fort Scott,KS,0,1,4,1,0,0,0,0,,371,1617,0
Garden City Community College,Garden City,KS,0,1,4,1,0,0,0,0,,540,1868,0
Haskell Indian Nations University,Lawrence,KS,33,2,1,1,0,0,1,0,2.0,804,731,1
Hesston College,Hesston,KS,5,2,2,2,0,0,0,0,1.0,436,359,0
Highland Community College,Highland,KS,0,1,4,1,0,0,0,0,,417,2700,0
Hutchinson Community College,Hutchinson,KS,0,1,4,1,0,0,0,0,,528,4907,0
Independence Community College,Independence,KS,0,1,4,1,0,0,0,0,,280,798,0
Johnson County Community College,Overland Park,KS,0,1,4,1,0,0,0,0,,0,13891,0
Concorde Career College-Kansas City,Kansas City,MO,1,2,3,3,0,0,0,0,1.0,0,323,0
Kansas City Kansas Community College,Kansas City,KS,0,1,4,1,0,0,0,0,,160,5148,0
Kansas Christian College,Overland Park,KS,5,2,2,2,0,0,0,0,1.0,89,152,0
University of Kansas,Lawrence,KS,2,5,1,1,0,0,0,0,2.0,5573,19135,0
Newman University,Wichita,KS,4,5,2,2,0,0,0,0,1.0,400,1577,0
Kansas State University,Manhattan,KS,2,4,1,1,0,0,0,0,1.0,5696,16257,0
Kansas Wesleyan University,Salina,KS,5,3,2,2,0,0,0,0,2.0,483,749,0
Labette Community College,Parsons,KS,0,1,4,1,0,0,0,0,,0,1464,0
Manhattan Area Technical College,Manhattan,KS,0,1,4,1,0,0,0,0,,0,842,0
Manhattan Christian College,Manhattan,KS,1,2,2,2,0,0,0,0,1.0,161,170,0
McPherson College,McPherson,KS,5,3,2,2,0,0,0,0,3.0,530,838,0
MidAmerica Nazarene University,Olathe,KS,4,4,2,2,0,0,0,0,2.0,695,1222,0
Neosho County Community College,Chanute,KS,0,1,4,1,0,0,0,0,,293,1727,0
North Central Kansas Technical College,Beloit,KS,0,1,4,1,0,0,0,0,,112,843,0
Northwest Kansas Technical College,Goodland,KS,0,1,4,1,0,0,0,0,,253,676,0
Ottawa University-Ottawa,Ottawa,KS,5,3,2,2,0,0,0,0,1.0,540,720,0
Ottawa University-Kansas City,Overland Park,KS,4,5,2,2,0,0,0,0,1.0,0,257,0
Pittsburg State University,Pittsburg,KS,4,4,1,1,0,0,0,0,1.0,1300,4825,0
Pratt Community College,Pratt,KS,0,1,4,1,0,0,0,0,,330,1164,0
University of Saint Mary,Leavenworth,KS,4,5,2,2,0,0,0,0,1.0,333,810,0
Salina Area Technical College,Salina,KS,0,1,4,1,0,0,0,0,,0,697,0
Seward County Community College,Liberal,KS,0,1,4,1,0,0,0,0,,240,1580,0
Southwestern College,Winfield,KS,5,3,2,2,0,0,0,0,0.0,512,1272,0
Sterling College,Sterling,KS,5,3,2,2,0,0,0,0,1.0,635,665,0
Tabor College,Hillsboro,KS,5,3,2,2,0,0,0,0,1.0,568,586,0
United States Army Command and General Staff College,Fort Leavenworth,KS,1,6,1,1,0,0,0,0,0.0,0,218,0
Washburn University,Topeka,KS,4,4,1,1,0,0,0,0,1.0,1004,5070,0
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,0,1,4,1,0,0,0,0,,0,4606,0
Wichita State University,Wichita,KS,2,4,1,1,0,0,0,0,2.0,1396,11946,0
Wichita Technical Institute,Wichita,KS,1,1,6,3,0,0,0,0,,0,1157,0
Alice Lloyd College,Pippa Passes,KY,5,2,2,2,0,0,0,0,1.0,550,569,0
Asbury University,Wilmore,KY,4,3,2,2,0,0,0,0,2.0,1181,1492,0
Asbury Theological Seminary,Wilmore,KY,1,7,2,2,0,0,0,0,0.0,314,0,0
Ashland Community and Technical College,Ashland,KY,0,1,4,1,0,0,0,0,,0,2400,0
Bellarmine University,Louisville,KY,3,4,2,2,0,0,0,0,2.0,1123,2484,0
Berea College,Berea,KY,5,2,2,2,0,0,0,0,2.0,1653,1432,0
Southcentral Kentucky Community and Technical College,Bowling Green,KY,0,1,4,1,0,0,0,0,,0,4137,0
Brescia University,Owensboro,KY,5,3,2,2,0,0,0,0,1.0,362,893,0
Campbellsville University,Campbellsville,KY,4,6,2,2,0,0,0,0,2.0,1676,5794,0
Bluegrass Community and Technical College,Lexington,KY,0,1,4,1,0,0,0,0,,0,10180,0
Centre College,Danville,KY,5,2,2,2,0,0,0,0,3.0,1407,1333,0
Clear Creek Baptist Bible College,Pineville,KY,1,5,2,2,0,0,0,0,1.0,103,109,0
Galen College of Nursing-Louisville,Louisville,KY,1,3,3,3,0,0,0,0,1.0,0,2848,0
University of the Cumberlands,Williamsburg,KY,3,6,2,2,0,0,0,0,1.0,1461,4511,0
Eastern Kentucky University,Richmond,KY,3,4,1,1,0,0,0,0,1.0,4094,12070,0
Elizabethtown Community and Technical College,Elizabethtown,KY,0,1,4,1,0,0,0,0,,0,5850,0
Frontier Nursing University,Versailles,KY,1,7,2,2,0,0,0,0,0.0,0,0,0
Georgetown College,Georgetown,KY,5,4,2,2,0,0,0,0,2.0,1370,1109,0
Hazard Community and Technical College,Hazard,KY,0,1,4,1,0,0,0,0,,0,2630,0
Henderson Community College,Henderson,KY,0,1,4,1,0,0,0,0,,0,1331,0
Hopkinsville Community College,Hopkinsville,KY,0,1,4,1,0,0,0,0,,0,2076,0
Jefferson Community and Technical College,Louisville,KY,0,1,4,1,0,0,0,0,,0,12196,0
American National University-Pikeville,Pikeville,KY,1,2,3,3,0,0,0,0,1.0,0,210,0
Kentucky Mountain Bible College,Jackson,KY,5,2,2,2,0,0,0,0,2.0,100,87,0
Kentucky State University,Frankfort,KY,5,3,1,1,1,0,1,0,1.0,922,2148,0
Kentucky Wesleyan College,Owensboro,KY,5,2,2,2,0,0,0,0,1.0,517,887,0
University of Kentucky,Lexington,KY,2,4,1,1,0,0,0,0,2.0,8210,22227,0
Kentucky Christian University,Grayson,KY,5,3,2,2,0,0,0,0,1.0,340,600,0
Lexington Theological Seminary,Lexington,KY,1,7,2,2,0,0,0,0,0.0,0,0,0
Lindsey Wilson College,Columbia,KY,4,5,2,2,0,0,0,0,1.0,1167,1974,0
University of Louisville,Louisville,KY,2,5,1,1,0,0,0,0,2.0,3465,15927,0
Louisville Presbyterian Theological Seminary,Louisville,KY,1,7,2,2,0,0,0,0,0.0,82,0,0
Madisonville Community College,Madisonville,KY,0,1,4,1,0,0,0,0,,0,3104,0
Maysville Community and Technical College,Maysville,KY,0,1,4,1,0,0,0,0,,0,3446,0
Midway University,Midway,KY,4,3,2,2,0,0,0,0,1.0,407,1164,0
Morehead State University,Morehead,KY,4,3,1,1,0,0,0,0,2.0,2782,8618,0
Murray State University,Murray,KY,4,4,1,1,0,0,0,0,2.0,3388,7863,0
Gateway Community and Technical College,Florence,KY,0,1,4,1,0,0,0,0,,0,4299,0
Northern Kentucky University,Highland Heights,KY,3,4,1,1,0,0,0,0,2.0,1720,11507,0
West Kentucky Community and Technical College,Paducah,KY,0,1,4,1,0,0,0,0,,0,4893,0
University of Pikeville,Pikeville,KY,3,5,2,2,0,0,0,0,1.0,607,1348,0
Big Sandy Community and Technical College,Prestonsburg,KY,0,1,4,1,0,0,0,0,,0,2426,0
Somerset Community College,Somerset,KY,0,1,4,1,0,0,0,0,,0,4837,0
Southeast Kentucky Community & Technical College,Cumberland,KY,0,1,4,1,0,0,0,0,,0,2505,0
The Southern Baptist Theological Seminary,Louisville,KY,1,6,2,2,0,0,0,0,1.0,511,964,0
Spalding University,Louisville,KY,4,5,2,2,0,0,0,0,1.0,340,855,0
Sullivan University,Louisville,KY,4,4,3,3,0,0,0,0,1.0,508,2625,0
Thomas More University,Crestview Hills,KY,4,3,2,2,0,0,0,0,1.0,508,1892,0
Transylvania University,Lexington,KY,5,2,2,2,0,0,0,0,3.0,768,963,0
Union College,Barbourville,KY,4,4,2,2,0,0,0,0,1.0,407,945,0
Western Kentucky University,Bowling Green,KY,3,3,1,1,0,0,0,0,1.0,4903,15286,0
Central Louisiana Technical Community College,Alexandria,LA,1,1,4,1,0,0,0,0,,0,2192,0
Baton Rouge School of Computers,Baton Rouge,LA,1,1,6,3,0,0,0,0,,0,48,0
Bossier Parish Community College,Bossier City,LA,0,1,4,1,0,0,0,0,,0,6090,0
Centenary College of Louisiana,Shreveport,LA,5,3,2,2,0,0,0,0,2.0,612,552,0
Delgado Community College,New Orleans,LA,0,1,4,1,0,0,0,0,,0,13251,0
Dillard University,New Orleans,LA,5,2,2,2,1,0,1,0,1.0,695,1215,0
Nunez Community College,Chalmette,LA,0,1,4,1,0,0,0,0,,0,2166,0
Grambling State University,Grambling,LA,4,3,1,1,1,0,1,0,1.0,2500,4511,0
ITI Technical College,Baton Rouge,LA,1,1,6,3,0,0,0,0,,0,603,0
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,1,6,1,1,0,0,0,0,0.0,526,904,0
Louisiana State University-Alexandria,Alexandria,LA,5,2,1,1,0,0,0,0,1.0,390,3706,0
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,2,4,1,1,0,0,0,0,2.0,8468,27825,0
Louisiana State University-Eunice,Eunice,LA,0,1,4,1,0,0,0,0,,217,3142,0
Louisiana State University-Shreveport,Shreveport,LA,4,6,1,1,0,0,0,0,2.0,351,2553,0
Louisiana Christian University,Pineville,LA,4,4,2,2,0,0,0,0,1.0,700,943,0
Louisiana Tech University,Ruston,LA,2,4,1,1,0,0,0,0,2.0,2537,10013,0
Loyola University New Orleans,New Orleans,LA,3,4,2,2,0,0,0,0,2.0,1493,3219,0
McNeese State University,Lake Charles,LA,4,3,1,1,0,0,0,0,2.0,990,6674,0
University of New Orleans,New Orleans,LA,2,4,1,1,0,0,0,0,1.0,1604,6895,0
New Orleans Baptist Theological Seminary,New Orleans,LA,1,6,2,2,0,0,0,0,1.0,496,839,0
Nicholls State University,Thibodaux,LA,4,3,1,1,0,0,0,0,1.0,1413,6134,0
University of Louisiana at Monroe,Monroe,LA,3,4,1,1,0,0,0,0,2.0,1888,6929,0
Northwest Louisiana Technical Community College,Minden,LA,1,1,4,1,0,0,0,0,,0,935,0
Northwestern State University of Louisiana,Natchitoches,LA,4,3,1,1,0,0,0,0,1.0,1492,10321,0
University of Holy Cross,New Orleans,LA,4,5,2,2,0,0,0,0,3.0,115,784,0
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,1,5,2,2,0,0,0,0,0.0,0,1034,0
Saint Joseph Seminary College,St. Benedict,LA,1,2,2,2,0,0,0,0,1.0,175,107,0
Fletcher Technical Community College,Schriever,LA,0,1,4,1,0,0,0,0,,0,2105,0
Remington College-Lafayette Campus,Lafayette,LA,0,1,5,2,0,0,0,0,,0,296,0
SOWELA Technical Community College,Lake Charles,LA,0,1,4,1,0,0,0,0,,0,2914,0
Southeastern Louisiana University,Hammond,LA,4,3,1,1,0,0,0,0,1.0,2618,13456,0
Southern University and A & M College,Baton Rouge,LA,2,3,1,1,1,0,1,0,1.0,4600,6145,0
Southern University at New Orleans,New Orleans,LA,4,4,1,1,1,0,1,0,1.0,698,1941,0
Southern University at Shreveport,Shreveport,LA,0,1,4,1,1,0,1,0,,240,3013,0
University of Louisiana at Lafayette,Lafayette,LA,2,4,1,1,0,0,0,0,2.0,3718,14020,0
Northshore Technical Community College,Lacombe,LA,0,1,4,1,0,0,0,0,,0,3552,0
Tulane University of Louisiana,New Orleans,LA,2,5,2,2,0,0,0,0,3.0,3957,8537,0
Xavier University of Louisiana,New Orleans,LA,4,5,2,2,1,0,1,0,2.0,1757,2517,0
