GeoFIPS,GeoName,Description,Unit,2018,2019,2020,2021,2022
" ""01037""","Coosa, AL",Population (persons) 1/,Number of persons,10409,10441,10341,10366,10166
" ""01037""","Coosa, AL",Per capita personal income (dollars) 2/,Dollars,31864,33339,36000,38500,39617
" ""01039""","Covington, AL",Personal income (thousands of dollars) ,Thousands of dollars,1309008,1332625,1422508,1564704,1562086
" ""01039""","Covington, AL",Population (persons) 1/,Number of persons,37447,37591,37507,37542,37602
" ""01039""","Covington, AL",Per capita personal income (dollars) 2/,Dollars,34956,35451,37926,41679,41543
" ""01041""","Crenshaw, AL",Personal income (thousands of dollars) ,Thousands of dollars,500398,504508,525744,595160,623658
" ""01041""","Crenshaw, AL",Population (persons) 1/,Number of persons,13433,13340,13165,13056,13025
" ""01041""","Crenshaw, AL",Per capita personal income (dollars) 2/,Dollars,37251,37819,39935,45585,47882
" ""01043""","Cullman, AL",Personal income (thousands of dollars) ,Thousands of dollars,3276350,3464922,3717435,4190757,4453657
" ""01043""","Cullman, AL",Population (persons) 1/,Number of persons,86134,86838,88131,89618,90665
" ""01043""","Cullman, AL",Per capita personal income (dollars) 2/,Dollars,38038,39901,42181,46762,49122
" ""01045""","Dale, AL",Personal income (thousands of dollars) ,Thousands of dollars,1785937,1848435,1983112,2179098,2178403
" ""01045""","Dale, AL",Population (persons) 1/,Number of persons,49500,49554,49253,49412,49544
" ""01045""","Dale, AL",Per capita personal income (dollars) 2/,Dollars,36080,37301,40264,44101,43969
" ""01047""","Dallas, AL",Personal income (thousands of dollars) ,Thousands of dollars,1333745,1373430,1499041,1583677,1537291
" ""01047""","Dallas, AL",Population (persons) 1/,Number of persons,40066,39143,38174,37565,36767
" ""01047""","Dallas, AL",Per capita personal income (dollars) 2/,Dollars,33289,35087,39269,42158,41812
" ""01049""","DeKalb, AL",Personal income (thousands of dollars) ,Thousands of dollars,2294412,2352421,2478755,2878038,2920072
" ""01049""","DeKalb, AL",Population (persons) 1/,Number of persons,71446,71521,71648,71829,71998
" ""01049""","DeKalb, AL",Per capita personal income (dollars) 2/,Dollars,32114,32891,34596,40068,40558
" ""01051""","Elmore, AL",Personal income (thousands of dollars) ,Thousands of dollars,3466846,3650757,3921440,4298599,4394906
" ""01051""","Elmore, AL",Population (persons) 1/,Number of persons,85940,86943,87853,88737,89563
" ""01051""","Elmore, AL",Per capita personal income (dollars) 2/,Dollars,40340,41990,44636,48442,49071
" ""01053""","Escambia, AL",Personal income (thousands of dollars) ,Thousands of dollars,1181944,1229337,1334403,1457874,1424022
" ""01053""","Escambia, AL",Population (persons) 1/,Number of persons,36845,36939,36680,36658,36666
" ""01053""","Escambia, AL",Per capita personal income (dollars) 2/,Dollars,32079,33280,36380,39770,38838
" ""01055""","Etowah, AL",Personal income (thousands of dollars) ,Thousands of dollars,3745235,3855996,4097213,4390748,4427730
" ""01055""","Etowah, AL",Population (persons) 1/,Number of persons,103646,103440,103447,103139,103088
" ""01055""","Etowah, AL",Per capita personal income (dollars) 2/,Dollars,36135,37278,39607,42571,42951
" ""01057""","Fayette, AL",Personal income (thousands of dollars) ,Thousands of dollars,562170,586435,624163,676738,677542
" ""01057""","Fayette, AL",Population (persons) 1/,Number of persons,16514,16348,16330,16155,16118
" ""01057""","Fayette, AL",Per capita personal income (dollars) 2/,Dollars,34042,35872,38222,41890,42036
