#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Computer Science Principles","41","41","23"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Economics: Macro","33","33","29"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Eng. Language & Comp","28","28","19"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Eng. Literature & Comp","16","16","13"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Environmental Science","65","65","46"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","European History","51","51","37"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","French Language","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Geography: Human","14","14","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Gov. & Pol. U.S.","18","18","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Physics 1","29","29","10"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Physics C: Mechanics","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Psychology","80","80","41"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Spanish Language","16","16","14"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","Statistics","23","23","17"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","0389","East Coweta High School","U.S. History","35","35","27"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","638","Coweta County","5054","Newnan High School","ALL Subjects","386","590","404"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Art: Studio Drawing","21","21","21"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Biology","30","30","21"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Calculus A","18","18","14"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Calculus BC","22","22","20"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Chemistry","43","43","26"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Computer Science A","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Computer Science Principles","33","33","25"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Economics: Macro","50","50","40"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Eng. Language & Comp","13","13","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Environmental Science","33","33","22"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","European History","77","77","40"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Geography: Human","104","104","77"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Physics 1","20","20","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Physics C: Mechanics","11","11","10"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Psychology","16","16","11"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","Statistics","33","33","19"
"AP COUNTS","2022-23","SCHOOL","638","Coweta County","5054","Newnan High School","U.S. History","39","39","31"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","638","Coweta County","ALL","All Schools","ALL Subjects","986","1631","1158"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Art: Studio Drawing","24","24","24"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Biology","75","75","62"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Calculus A","22","22","16"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Calculus BC","93","93","81"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Chemistry","112","112","87"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Computer Science A","27","27","21"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Computer Science Principles","87","87","61"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Economics: Macro","131","131","112"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Eng. Language & Comp","86","86","67"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Eng. Literature & Comp","30","30","27"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Environmental Science","124","124","87"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","European History","169","169","106"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","French Language","11","11","TFS"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Geography: Human","156","156","109"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Gov. & Pol. U.S.","49","49","21"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Music Theory","10","10","TFS"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Physics 1","55","55","18"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Physics 2","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Physics C: Mechanics","13","13","12"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Psychology","134","134","77"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Spanish Language","21","21","15"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","Statistics","59","59","39"
"AP COUNTS","2022-23","DISTRICT","638","Coweta County","ALL","All Schools","U.S. History","132","132","96"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","639","Crawford County","0193","Crawford County High School","ALL Subjects","31","33","11"
"AP COUNTS","2022-23","SCHOOL","639","Crawford County","0193","Crawford County High School","Eng. Language & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","639","Crawford County","0193","Crawford County High School","Environmental Science","11","11","10"
"AP COUNTS","2022-23","SCHOOL","639","Crawford County","0193","Crawford County High School","Statistics","16","16","TFS"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","639","Crawford County","ALL","All Schools","ALL Subjects","31","33","11"
"AP COUNTS","2022-23","DISTRICT","639","Crawford County","ALL","All Schools","Eng. Language & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","639","Crawford County","ALL","All Schools","Environmental Science","11","11","10"
"AP COUNTS","2022-23","DISTRICT","639","Crawford County","ALL","All Schools","Statistics","16","16","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","640","Crisp County","0196","Crisp County High School","ALL Subjects","28","43","14"
"AP COUNTS","2022-23","SCHOOL","640","Crisp County","0196","Crisp County High School","Eng. Language & Comp","16","16","TFS"
"AP COUNTS","2022-23","SCHOOL","640","Crisp County","0196","Crisp County High School","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","640","Crisp County","0196","Crisp County High School","U.S. History","19","19","TFS"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","640","Crisp County","ALL","All Schools","ALL Subjects","28","43","14"
"AP COUNTS","2022-23","DISTRICT","640","Crisp County","ALL","All Schools","Eng. Language & Comp","16","16","TFS"
"AP COUNTS","2022-23","DISTRICT","640","Crisp County","ALL","All Schools","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","640","Crisp County","ALL","All Schools","U.S. History","19","19","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","641","Dade County","0195","Dade County High School","ALL Subjects","69","90","35"
"AP COUNTS","2022-23","SCHOOL","641","Dade County","0195","Dade County High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","641","Dade County","0195","Dade County High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","641","Dade County","0195","Dade County High School","Eng. Language & Comp","25","25","TFS"
"AP COUNTS","2022-23","SCHOOL","641","Dade County","0195","Dade County High School","Eng. Literature & Comp","19","19","17"
"AP COUNTS","2022-23","SCHOOL","641","Dade County","0195","Dade County High School","Gov. & Pol. U.S.","21","21","TFS"
"AP COUNTS","2022-23","SCHOOL","641","Dade County","0195","Dade County High School","World History","14","14","TFS"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","641","Dade County","ALL","All Schools","ALL Subjects","69","90","35"
"AP COUNTS","2022-23","DISTRICT","641","Dade County","ALL","All Schools","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","641","Dade County","ALL","All Schools","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","641","Dade County","ALL","All Schools","Eng. Language & Comp","25","25","TFS"
"AP COUNTS","2022-23","DISTRICT","641","Dade County","ALL","All Schools","Eng. Literature & Comp","19","19","17"
"AP COUNTS","2022-23","DISTRICT","641","Dade County","ALL","All Schools","Gov. & Pol. U.S.","21","21","TFS"
"AP COUNTS","2022-23","DISTRICT","641","Dade County","ALL","All Schools","World History","14","14","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","642","Dawson County","0106","Dawson County Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0106","Dawson County Middle School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","642","Dawson County","0198","Dawson County High School","ALL Subjects","163","268","122"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Art History","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Biology","16","16","10"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Calculus A","20","20","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Computer Science Principles","29","29","24"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Eng. Language & Comp","17","17","12"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Environmental Science","73","73","12"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","European History","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Gov. & Pol. Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Psychology","45","45","19"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","U.S. History","27","27","13"
"AP COUNTS","2022-23","SCHOOL","642","Dawson County","0198","Dawson County High School","World History","26","26","19"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","642","Dawson County","ALL","All Schools","ALL Subjects","164","269","122"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Art History","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Biology","16","16","10"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Calculus A","20","20","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Computer Science Principles","29","29","24"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Eng. Language & Comp","17","17","12"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Environmental Science","74","74","12"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","European History","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Gov. & Pol. Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Psychology","45","45","19"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","U.S. History","27","27","13"
"AP COUNTS","2022-23","DISTRICT","642","Dawson County","ALL","All Schools","World History","26","26","19"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","643","Decatur County","3050","Bainbridge High School","ALL Subjects","51","67","23"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","Eng. Language & Comp","14","14","TFS"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","Psychology","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","Statistics","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","643","Decatur County","3050","Bainbridge High School","U.S. History","16","16","TFS"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","643","Decatur County","ALL","All Schools","ALL Subjects","51","67","23"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","Eng. Language & Comp","14","14","TFS"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","Psychology","11","11","TFS"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","Statistics","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","643","Decatur County","ALL","All Schools","U.S. History","16","16","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0103","Martin Luther King, Jr. High School","ALL Subjects","25","25","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0103","Martin Luther King, Jr. High School","Computer Science Principles","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0103","Martin Luther King, Jr. High School","World History","24","24","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0105","Miller Grove High School","ALL Subjects","48","66","19"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0105","Miller Grove High School","Eng. Language & Comp","17","17","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0105","Miller Grove High School","Environmental Science","10","10","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0105","Miller Grove High School","U.S. History","26","26","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0105","Miller Grove High School","World History","13","13","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0172","Cedar Grove High School","ALL Subjects","139","187","25"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Art: Studio 2-D Design","14","14","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Biology","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Calculus A","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Economics: Micro","15","15","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Eng. Language & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Eng. Literature & Comp","15","15","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Environmental Science","16","16","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Geography: Human","10","10","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","Statistics","36","36","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","U.S. History","28","28","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0172","Cedar Grove High School","World History","29","29","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0176","Redan High School","ALL Subjects","100","112","18"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0176","Redan High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0176","Redan High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0176","Redan High School","Eng. Language & Comp","24","24","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0176","Redan High School","Eng. Literature & Comp","25","25","14"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0176","Redan High School","U.S. History","26","26","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0176","Redan High School","World History","31","31","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0193","Chapel Hill Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0193","Chapel Hill Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0200","Cedar Grove Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0200","Cedar Grove Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0202","Lithonia High School","ALL Subjects","135","153","17"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","Economics: Micro","31","31","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","Psychology","27","27","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","U.S. History","32","32","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0202","Lithonia High School","World History","46","46","13"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0276","Stone Mountain High School","ALL Subjects","101","103","23"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0276","Stone Mountain High School","Eng. Language & Comp","18","18","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0276","Stone Mountain High School","Geography: Human","45","45","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0276","Stone Mountain High School","Statistics","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0276","Stone Mountain High School","U.S. History","13","13","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0276","Stone Mountain High School","World History","21","21","13"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0291","Salem Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0291","Salem Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0291","Salem Middle School","World History","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0301","Columbia Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0301","Columbia Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0301","Columbia Middle School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0301","Columbia Middle School","World History","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0397","Stephenson Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0397","Stephenson Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0397","Stephenson Middle School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0397","Stephenson Middle School","World History","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0406","Chamblee Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0406","Chamblee Middle School","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0406","Chamblee Middle School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0406","Chamblee Middle School","German Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0406","Chamblee Middle School","World History","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0407","Dekalb Early College Academy","ALL Subjects","47","52","40"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0407","Dekalb Early College Academy","Eng. Language & Comp","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0407","Dekalb Early College Academy","Statistics","22","22","20"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0407","Dekalb Early College Academy","U.S. History","19","19","12"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0410","DeKalb School of the Arts","ALL Subjects","149","256","181"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Art: Studio 2-D Design","10","10","10"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Economics: Macro","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Economics: Micro","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Eng. Language & Comp","57","57","29"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Eng. Literature & Comp","46","46","36"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Environmental Science","16","16","12"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Psychology","44","44","34"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","Statistics","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","U.S. History","21","21","14"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0410","DeKalb School of the Arts","World History","30","30","20"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","644","DeKalb County","0497","Stephenson High School","ALL Subjects","110","129","25"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0497","Stephenson High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0497","Stephenson High School","Calculus A","12","12","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0497","Stephenson High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","644","DeKalb County","0497","Stephenson High School","Eng. Language & Comp","16","16","TFS"
