#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Calculus BC","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Capstone Research","13","13","12"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Chemistry","32","32","14"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Economics: Micro","12","12","10"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Eng. Language & Comp","27","27","11"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Geography: Human","23","23","14"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Physics 1","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Psychology","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","Statistics","23","23","13"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","U.S. History","21","21","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","0101","Apalachee High School","World History","25","25","21"
