,County,State_Abbreviation,Income,Population
170,Jackson,AR,49638,16784
171,Jefferson,AR,43046,63661
172,Johnson,AR,35549,26129
173,Lafayette,AR,50109,6095
174,Lawrence,AR,43536,16318
175,Lee,AR,37402,8201
176,Lincoln,AR,32565,12898
177,Little River,AR,42731,11805
178,Logan,AR,40613,21400
179,Lonoke,AR,51952,75944
180,Madison,AR,42673,17775
181,Marion,AR,39163,17514
182,Miller,AR,42293,42415
183,Mississippi,AR,47237,38663
184,Monroe,AR,45511,6512
185,Montgomery,AR,40367,8620
186,Nevada,AR,39904,8120
187,Newton,AR,39704,7071
188,Ouachita,AR,51167,21793
189,Perry,AR,47868,10184
190,Phillips,AR,46576,14961
191,Pike,AR,42381,10208
192,Poinsett,AR,46750,22397
193,Polk,AR,39863,19436
194,Pope,AR,43838,64593
195,Prairie,AR,49123,8036
196,Pulaski,AR,65851,400009
197,Randolph,AR,41112,18907
198,St. Francis,AR,37401,22101
199,Saline,AR,54851,129574
200,Scott,AR,38982,9851
201,Searcy,AR,35719,7806
202,Sebastian,AR,50348,129098
203,Sevier,AR,42946,15632
204,Sharp,AR,43491,17968
205,Stone,AR,39075,12671
206,Union,AR,56838,37397
207,Van Buren,AR,41926,16142
208,Washington,AR,51797,261549
209,White,AR,46269,78452
210,Woodruff,AR,57492,5964
211,Yell,AR,44170,20044
212,Alameda,CA,106657,1622188
213,Alpine,CA,75395,1141
214,Amador,CA,50020,41811
215,Butte,CA,56847,207172
216,Calaveras,CA,58425,46565
217,Colusa,CA,58303,22037
218,Contra Costa,CA,103218,1155025
219,Del Norte,CA,47141,26589
220,El Dorado,CA,84533,192215
221,Fresno,CA,52728,1017162
222,Glenn,CA,53013,28129
223,Humboldt,CA,57264,133985
224,Imperial,CA,47991,179057
225,Inyo,CA,64246,18527
226,Kern,CA,47350,913820
227,Kings,CA,43994,152682
228,Lake,CA,48198,67878
229,Lassen,CA,43736,28861
230,Los Angeles,CA,78302,9663345
231,Madera,CA,46709,162858
232,Marin,CA,180575,254407
233,Mariposa,CA,65423,16919
234,Mendocino,CA,59050,89108
235,Merced,CA,46654,291920
236,Modoc,CA,60674,8500
237,Mono,CA,70699,13066
238,Monterey,CA,68943,430723
239,Napa,CA,94973,133216
240,Nevada,CA,75539,102037
241,Orange,CA,88897,3135755
242,Placer,CA,85265,423561
243,Plumas,CA,64856,19131
244,Riverside,CA,53750,2492442
245,Sacramento,CA,65104,1584288
246,San Benito,CA,66310,68175
247,San Bernardino,CA,51194,2195611
248,San Diego,CA,79122,3269973
249,San Francisco,CA,164807,808988
250,San Joaquin,CA,59361,800965
251,San Luis Obispo,CA,72721,281639
252,San Mateo,CA,172828,726353
253,Santa Barbara,CA,82736,441257
254,Santa Clara,CA,151003,1877592
255,Santa Cruz,CA,88581,261547
256,Shasta,CA,57637,180366
257,Sierra,CA,53251,3200
258,Siskiyou,CA,55052,42905
259,Solano,CA,64514,449218
260,Sonoma,CA,83408,481812
261,Stanislaus,CA,53058,551430
262,Sutter,CA,53900,97948
263,Tehama,CA,49265,64896
264,Trinity,CA,38243,15670
265,Tulare,CA,48253,479468
266,Tuolumne,CA,56239,54204
267,Ventura,CA,78091,829590
268,Yolo,CA,67778,220544
269,Yuba,CA,50587,85722
270,Adams,CO,58851,533365
271,Alamosa,CO,44666,16655
272,Arapahoe,CO,81414,656061
273,Archuleta,CO,58325,14189
274,Baca,CO,60686,3344
275,Bent,CO,34152,5681
276,Boulder,CO,100242,326831
277,Broomfield,CO,90712,76860
278,Chaffee,CO,66503,20617
279,Cheyenne,CO,83285,1727
280,Clear Creek,CO,78739,9147
281,Conejos,CO,46523,7521
282,Costilla,CO,40830,3628
283,Crowley,CO,25013,5636
284,Custer,CO,53797,5534
285,Delta,CO,50137,31746
286,Denver,CO,116530,716577
287,Dolores,CO,40158,2513
288,Douglas,CO,102928,383906
289,Eagle,CO,128041,54381
290,Elbert,CO,76970,28806
291,El Paso,CO,65715,744215
292,Fremont,CO,43608,50318
293,Garfield,CO,71629,62707
294,Gilpin,CO,69394,5926
295,Grand,CO,73848,15935
296,Gunnison,CO,70391,17321
297,Hinsdale,CO,70643,765
298,Huerfano,CO,49718,7055
299,Jackson,CO,68367,1309
300,Jefferson,CO,85164,576366
301,Kiowa,CO,74467,1384
302,Kit Carson,CO,55134,6994
303,Lake,CO,53990,7365
304,La Plata,CO,76558,56407
305,Larimer,CO,71359,370771
306,Las Animas,CO,47010,14348
307,Lincoln,CO,41629,5480
308,Logan,CO,55137,20619
309,Mesa,CO,57653,159681
310,Mineral,CO,76234,944
311,Moffat,CO,52090,13327
312,Montezuma,CO,53105,26531
313,Montrose,CO,55673,44156
314,Morgan,CO,53136,29524
315,Otero,CO,44018,18136
316,Ouray,CO,88367,5176
317,Park,CO,61974,18117
318,Phillips,CO,58035,4476
319,Pitkin,CO,255839,16640
320,Prowers,CO,49097,11751
321,Pueblo,CO,48891,169422
322,Rio Blanco,CO,63017,6569
323,Rio Grande,CO,60174,11188
324,Routt,CO,131507,25064
325,Saguache,CO,42621,6688
326,San Juan,CO,55971,802
327,San Miguel,CO,156403,7868
328,Sedgwick,CO,54706,2299
329,Summit,CO,105034,30465
330,Teller,CO,67575,24617
331,Washington,CO,49437,4855
332,Weld,CO,62532,359442
333,Yuma,CO,55215,9862
334,Fairfield,CT,139006,963780
335,Hartford,CT,75433,898478
336,Litchfield,CT,82210,186551
337,Middlesex,CT,80853,166110
338,New Haven,CT,68387,865717
339,New London,CT,69755,268518
340,Tolland,CT,67916,150906
341,Windham,CT,56773,117116
342,Kent,DE,52494,189789
343,New Castle,DE,70792,578592
344,Sussex,DE,68532,263509
345,District of Columbia,DC,106816,678972
346,Alachua,FL,55872,285994
347,Baker,FL,46794,28368
348,Bay,FL,56070,190769
349,Bradford,FL,43418,27858
350,Brevard,FL,60162,643979
351,Broward,FL,70982,1962531
352,Calhoun,FL,38342,13470
353,Charlotte,FL,55332,206134
354,Citrus,FL,47178,166696
355,Clay,FL,56382,232439
356,Collier,FL,134527,404310
357,Columbia,FL,45995,73063
358,DeSoto,FL,34786,35979
359,Dixie,FL,35895,17465
360,Duval,FL,58975,1030822
361,Escambia,FL,55416,326928
362,Flagler,FL,63819,131439
363,Franklin,FL,45384,12594
364,Gadsden,FL,47181,43833
365,Gilchrist,FL,45053,19587
366,Glades,FL,32897,12786
367,Gulf,FL,50687,15693
368,Hamilton,FL,37368,13471
369,Hardee,FL,36871,25760
370,Hendry,FL,41164,43333
371,Hernando,FL,49176,212807
372,Highlands,FL,44177,107614
373,Hillsborough,FL,63640,1535564
374,Holmes,FL,41258,19944
375,Indian River,FL,105827,169795
376,Jackson,FL,40972,48622
377,Jefferson,FL,52094,15450
378,Lafayette,FL,35986,8078
379,Lake,FL,55387,424462
380,Lee,FL,65878,834573
381,Leon,FL,57139,296913
382,Levy,FL,47517,46545
383,Liberty,FL,35661,7706
384,Madison,FL,44697,18519
385,Manatee,FL,64096,441095
386,Marion,FL,46682,409959
387,Martin,FL,114799,163315
388,Miami-Dade,FL,75182,2686867
389,Monroe,FL,130525,80614
390,Nassau,FL,79701,101501
391,Okaloosa,FL,62236,218464
392,Okeechobee,FL,42702,41427
393,Orange,FL,59767,1471416
394,Osceola,FL,47824,437784
395,Palm Beach,FL,117322,1533801
396,Pasco,FL,56734,632996
397,Pinellas,FL,71904,961596
398,Polk,FL,44430,818330
399,Putnam,FL,41712,75955
400,St. Johns,FL,89347,320110
401,St. Lucie,FL,54842,373586
402,Santa Rosa,FL,59385,203162
403,Sarasota,FL,85157,469013
404,Seminole,FL,62804,484271
405,Sumter,FL,71231,151565
406,Suwannee,FL,44416,46130
407,Taylor,FL,39813,21582
408,Union,FL,28946,15532
409,Volusia,FL,55824,590357
410,Wakulla,FL,52124,36449
411,Walton,FL,89435,86354
412,Washington,FL,38734,25602
413,Appling,GA,48022,18457
414,Atkinson,GA,36641,8293
415,Bacon,GA,41682,11124
416,Baker,GA,47906,2743
417,Baldwin,GA,45617,43396
418,Banks,GA,43896,19789
419,Barrow,GA,50221,92792
420,Bartow,GA,51396,115041
421,Ben Hill,GA,42217,17128
422,Berrien,GA,41787,18570
423,Bibb,GA,48455,156512
424,Bleckley,GA,42820,12465
425,Brantley,GA,37617,18401
426,Brooks,GA,40884,16245
427,Bryan,GA,60655,49739
428,Bulloch,GA,40939,84327
429,Burke,GA,42661,24438
430,Butts,GA,44514,26887
431,Calhoun,GA,35593,5457
432,Camden,GA,46608,58118
433,Candler,GA,42764,11059
434,Carroll,GA,51798,127098
435,Catoosa,GA,45791,68910
436,Charlton,GA,32717,12934
437,Chatham,GA,59376,303655
438,Chattahoochee,GA,38026,8661
439,Chattooga,GA,38269,25222
440,Cherokee,GA,71255,286602
441,Clarke,GA,43899,129933
442,Clay,GA,39127,2853
443,Clayton,GA,34871,298300
444,Clinch,GA,45218,6746
445,Cobb,GA,75176,776743
446,Coffee,GA,40334,43317
447,Colquitt,GA,42437,46167
448,Columbia,GA,61147,165162
449,Cook,GA,40392,17714
450,Coweta,GA,62396,155892
451,Crawford,GA,40651,12277
452,Crisp,GA,48309,19631
453,Dade,GA,43769,16165
454,Dawson,GA,63599,31732
455,Decatur,GA,44657,29087
456,DeKalb,GA,67811,762992
457,Dodge,GA,38758,19776
458,Dooly,GA,43325,10981
459,Dougherty,GA,47803,82645
460,Douglas,GA,45636,149160
461,Early,GA,44161,10563
462,Echols,GA,34289,3709
463,Effingham,GA,50587,71541
464,Elbert,GA,44067,20013
465,Emanuel,GA,41102,23119
466,Evans,GA,42033,10754
467,Fannin,GA,54467,25955
468,Fayette,GA,77577,123351
469,Floyd,GA,46727,100113
470,Forsyth,GA,84447,272887
471,Franklin,GA,41656,24782
472,Fulton,GA,106131,1079105
473,Gilmer,GA,47155,32860
474,Glascock,GA,41959,2954
475,Glynn,GA,62751,86172
476,Gordon,GA,45960,59757
477,Grady,GA,39758,26066
478,Greene,GA,82896,20722
479,Gwinnett,GA,54331,983526
480,Habersham,GA,40806,48757
481,Hall,GA,60036,217267
482,Hancock,GA,36621,8676
483,Haralson,GA,46887,32038
484,Harris,GA,60495,36654
485,Hart,GA,46368,27556
486,Heard,GA,41968,12034
487,Henry,GA,49576,254613
488,Houston,GA,50250,171974
489,Irwin,GA,45263,9120
490,Jackson,GA,58834,88615
491,Jasper,GA,49780,16455
492,Jeff Davis,GA,38657,14906
493,Jefferson,GA,45063,15183
494,Jenkins,GA,38045,8627
495,Johnson,GA,34237,9282
496,Jones,GA,45119,28969
497,Lamar,GA,45645,20401
498,Lanier,GA,35327,10452
499,Laurens,GA,45805,49941
500,Lee,GA,53825,33872
501,Liberty,GA,41343,69210
502,Lincoln,GA,48452,7879
503,Long,GA,40741,19594
504,Lowndes,GA,45758,120712
505,Lumpkin,GA,49173,35258
506,McDuffie,GA,44291,21799
507,McIntosh,GA,50929,11501
508,Macon,GA,41839,11817
509,Madison,GA,46890,32191
510,Marion,GA,39386,7440
511,Meriwether,GA,46981,20931
512,Miller,GA,52904,5747
513,Mitchell,GA,44877,21114
514,Monroe,GA,56136,30625
515,Montgomery,GA,37828,8761
516,Morgan,GA,63507,21460
517,Murray,GA,38846,41035
518,Muscogee,GA,51442,201877
519,Newton,GA,43952,120135
520,Oconee,GA,87461,44182
521,Oglethorpe,GA,47014,15754
522,Paulding,GA,50181,183164
523,Peach,GA,46062,28805
524,Pickens,GA,63367,35969
525,Pierce,GA,42832,20425
526,Pike,GA,52786,20461
527,Polk,GA,41831,44223
528,Pulaski,GA,41152,10095
