,County,State_Abbreviation,Income,Population
838,Dallas,IA,84495,111092
839,Davis,IA,56856,9169
840,Decatur,IA,44361,7665
841,Delaware,IA,60775,17600
842,Des Moines,IA,58928,38253
843,Dickinson,IA,79429,18056
844,Dubuque,IA,63435,98887
845,Emmet,IA,51744,9229
846,Fayette,IA,53333,19210
847,Floyd,IA,60794,15326
848,Franklin,IA,63224,9875
849,Fremont,IA,60566,6458
850,Greene,IA,59822,8584
851,Grundy,IA,65012,12384
852,Guthrie,IA,68446,10722
853,Hamilton,IA,60409,14729
854,Hancock,IA,63316,10615
855,Hardin,IA,77229,16463
856,Harrison,IA,59741,14670
857,Henry,IA,52183,19547
858,Howard,IA,63532,9376
859,Humboldt,IA,59055,9500
860,Ida,IA,76071,6833
861,Iowa,IA,61176,16381
862,Jackson,IA,56935,19342
863,Jasper,IA,52040,37919
864,Jefferson,IA,57961,15440
865,Johnson,IA,63487,157528
866,Jones,IA,55571,20900
867,Keokuk,IA,56070,9914
868,Kossuth,IA,63562,14396
869,Lee,IA,52269,32565
870,Linn,IA,63407,228972
871,Louisa,IA,53254,10513
872,Lucas,IA,49937,8747
873,Lyon,IA,68302,12324
874,Madison,IA,61924,16971
875,Mahaska,IA,55210,21874
876,Marion,IA,64302,33770
877,Marshall,IA,49357,40014
878,Mills,IA,69748,14633
879,Mitchell,IA,110907,10518
880,Monona,IA,60126,8493
881,Monroe,IA,58282,7504
882,Montgomery,IA,50995,10139
883,Muscatine,IA,57595,42218
884,O'Brien,IA,63799,14012
885,Osceola,IA,60171,5978
886,Page,IA,54431,15014
887,Palo Alto,IA,59206,8810
888,Plymouth,IA,66979,25722
889,Pocahontas,IA,56936,6976
890,Polk,IA,66761,505255
891,Pottawattamie,IA,58306,93179
892,Poweshiek,IA,56638,18453
893,Ringgold,IA,54984,4642
894,Sac,IA,75597,9686
895,Scott,IA,66748,174270
896,Shelby,IA,64704,11806
897,Sioux,IA,67668,36246
898,Story,IA,55798,98566
899,Tama,IA,56041,16833
900,Taylor,IA,54697,5924
901,Union,IA,50034,11906
902,Van Buren,IA,48677,7266
903,Wapello,IA,47419,35166
904,Warren,IA,64502,55205
905,Washington,IA,80062,22560
906,Wayne,IA,53428,6557
907,Webster,IA,53213,36485
908,Winnebago,IA,53158,10571
909,Winneshiek,IA,62049,19815
910,Woodbury,IA,53685,105951
911,Worth,IA,56008,7297
912,Wright,IA,68410,12656
913,Allen,KS,50687,12412
914,Anderson,KS,54518,7838
915,Atchison,KS,45739,16016
916,Barber,KS,59643,4071
917,Barton,KS,59485,24899
918,Bourbon,KS,49298,14408
919,Brown,KS,54718,9250
920,Butler,KS,57748,68632
921,Chase,KS,66523,2579
922,Chautauqua,KS,47835,3347
923,Cherokee,KS,55543,19054
924,Cheyenne,KS,64275,2636
925,Clark,KS,60744,1847
926,Clay,KS,53949,8007
927,Cloud,KS,53067,8854
928,Coffey,KS,58337,8251
929,Comanche,KS,60615,1655
930,Cowley,KS,47207,34157
931,Crawford,KS,47790,38764
932,Decatur,KS,65912,2712
933,Dickinson,KS,51568,18445
934,Doniphan,KS,51625,7493
935,Douglas,KS,56846,120553
936,Edwards,KS,74594,2733
937,Elk,KS,47572,2467
938,Ellis,KS,58661,28810
939,Ellsworth,KS,52060,6357
940,Finney,KS,52953,37466
941,Ford,KS,48219,33980
942,Franklin,KS,51709,26125
943,Geary,KS,53932,35047
944,Gove,KS,93617,2735
945,Graham,KS,72489,2376
946,Grant,KS,55067,7147
947,Gray,KS,75419,5743
948,Greeley,KS,104174,1181
949,Greenwood,KS,53469,5870
950,Hamilton,KS,96996,2437
951,Harper,KS,64601,5435
952,Harvey,KS,54695,33504
953,Haskell,KS,86892,3630
954,Hodgeman,KS,74269,1655
955,Jackson,KS,53147,13368
956,Jefferson,KS,58042,18327
957,Jewell,KS,68978,2847
958,Johnson,KS,102693,622237
959,Kearny,KS,69427,3823
960,Kingman,KS,59356,7066
961,Kiowa,KS,56167,2374
962,Labette,KS,51806,19728
963,Lane,KS,98681,1529
964,Leavenworth,KS,53757,83518
965,Lincoln,KS,57773,2920
966,Linn,KS,50711,9860
967,Logan,KS,69978,2665
968,Lyon,KS,49529,32172
969,McPherson,KS,64594,30091
970,Marion,KS,52183,11690
971,Marshall,KS,50960,9933
972,Meade,KS,75656,3911
973,Miami,KS,63817,35320
974,Mitchell,KS,78857,5719
975,Montgomery,KS,46735,30568
976,Morris,KS,56022,5334
977,Morton,KS,61783,2580
978,Nemaha,KS,71607,10114
979,Neosho,KS,50698,15420
980,Ness,KS,77970,2618
981,Norton,KS,61506,5330
982,Osage,KS,53431,15824
983,Osborne,KS,66994,3427
984,Ottawa,KS,55673,5818
985,Pawnee,KS,51405,6126
986,Phillips,KS,71198,4761
987,Pottawatomie,KS,65218,26382
988,Pratt,KS,60341,9082
989,Rawlins,KS,75897,2463
990,Reno,KS,51423,61497
991,Republic,KS,54892,4627
992,Rice,KS,55134,9260
993,Riley,KS,53971,71402
994,Rooks,KS,55630,4778
995,Rush,KS,66255,2830
996,Russell,KS,59870,6723
997,Saline,KS,60591,53098
998,Scott,KS,68367,4922
999,Sedgwick,KS,61462,528469
1000,Seward,KS,47846,21067
1001,Shawnee,KS,58412,177746
1002,Sheridan,KS,64147,2423
1003,Sherman,KS,57304,5844
1004,Smith,KS,67860,3590
1005,Stafford,KS,60316,3909
1006,Stanton,KS,91580,1901
1007,Stevens,KS,57057,5077
1008,Sumner,KS,51274,22334
1009,Thomas,KS,60027,7865
1010,Trego,KS,70367,2731
1011,Wabaunsee,KS,60700,7057
1012,Wallace,KS,59710,1509
1013,Washington,KS,55727,5504
1014,Wichita,KS,66361,2082
1015,Wilson,KS,52380,8382
1016,Woodson,KS,49343,3115
1017,Wyandotte,KS,41273,165281
1018,Adair,KY,43430,19264
1019,Allen,KY,41417,21788
1020,Anderson,KY,48357,24613
1021,Ballard,KY,54570,7582
1022,Barren,KY,44502,45008
1023,Bath,KY,40141,12975
1024,Bell,KY,42353,23317
1025,Boone,KY,62066,140496
1026,Bourbon,KY,60106,20134
1027,Boyd,KY,49074,47826
1028,Boyle,KY,49125,30988
1029,Bracken,KY,46473,8426
1030,Breathitt,KY,42633,12953
1031,Breckinridge,KY,42080,21124
1032,Bullitt,KY,54121,84863
1033,Butler,KY,44967,12375
1034,Caldwell,KY,45883,12551
1035,Calloway,KY,45760,38280
1036,Campbell,KY,66222,93702
1037,Carlisle,KY,57656,4704
1038,Carroll,KY,48948,10987
1039,Carter,KY,40853,26366
1040,Casey,KY,42262,15918
1041,Christian,KY,46804,72032
1042,Clark,KY,51148,37304
1043,Clay,KY,40899,19648
1044,Clinton,KY,44343,9148
1045,Crittenden,KY,44336,8974
1046,Cumberland,KY,54202,6000
1047,Daviess,KY,52446,103458
1048,Edmonson,KY,41551,12448
1049,Elliott,KY,29689,7245
1050,Estill,KY,42324,13936
1051,Fayette,KY,65766,320154
1052,Fleming,KY,42128,15442
1053,Floyd,KY,45540,34423
1054,Franklin,KY,52606,51644
1055,Fulton,KY,43619,6338
1056,Gallatin,KY,45611,8792
1057,Garrard,KY,46035,17829
1058,Grant,KY,47749,25619
1059,Graves,KY,51262,36461
1060,Grayson,KY,43794,26825
1061,Green,KY,43751,11468
1062,Greenup,KY,50917,35221
1063,Hancock,KY,64129,8920
1064,Hardin,KY,56117,112273
1065,Harlan,KY,40111,25324
1066,Harrison,KY,44682,19415
1067,Hart,KY,44753,19724
1068,Henderson,KY,55562,44119
1069,Henry,KY,52499,15973
1070,Hickman,KY,54753,4447
1071,Hopkins,KY,49158,44929
1072,Jackson,KY,39236,13104
1073,Jefferson,KY,67663,772144
1074,Jessamine,KY,61703,55017
1075,Johnson,KY,41188,22116
1076,Kenton,KY,73345,171321
1077,Knott,KY,44273,13659
1078,Knox,KY,39065,29794
1079,Larue,KY,43899,15303
1080,Laurel,KY,42337,63296
1081,Lawrence,KY,41198,16000
1082,Lee,KY,36462,7293
1083,Leslie,KY,41877,9864
1084,Letcher,KY,42346,20423
1085,Lewis,KY,41161,12973
1086,Lincoln,KY,41970,24776
1087,Livingston,KY,49169,8892
1088,Logan,KY,47354,28283
1089,Lyon,KY,44255,9187
1090,McCracken,KY,64990,67428
1091,McCreary,KY,35036,17050
1092,McLean,KY,49877,9054
1093,Madison,KY,48025,96735
1094,Magoffin,KY,44371,11228
1095,Marion,KY,46832,19834
1096,Marshall,KY,52573,31744
1097,Martin,KY,33523,10928
1098,Mason,KY,51314,16841
1099,Meade,KY,49710,30131
1100,Menifee,KY,42933,6286
1101,Mercer,KY,46920,23097
1102,Metcalfe,KY,38441,10482
1103,Monroe,KY,44980,11306
1104,Montgomery,KY,45753,28527
1105,Morgan,KY,34380,14283
1106,Muhlenberg,KY,42598,30568
1107,Nelson,KY,56564,47730
1108,Nicholas,KY,41289,7686
1109,Ohio,KY,41556,23626
1110,Oldham,KY,82531,70183
1111,Owen,KY,41220,11313
1112,Owsley,KY,49867,4001
1113,Pendleton,KY,48191,14810
1114,Perry,KY,46219,27133
1115,Pike,KY,46272,55973
1116,Powell,KY,40504,12972
1117,Pulaski,KY,49580,66191
1118,Robertson,KY,41010,2313
1119,Rockcastle,KY,42505,16190
1120,Rowan,KY,40762,24409
1121,Russell,KY,57716,18279
1122,Scott,KY,56801,60168
1123,Shelby,KY,61248,49515
1124,Simpson,KY,46907,20195
1125,Spencer,KY,59165,20531
1126,Taylor,KY,42772,26443
1127,Todd,KY,50116,12494
1128,Trigg,KY,48027,14369
1129,Trimble,KY,49796,8607
1130,Union,KY,53319,13106
1131,Warren,KY,48546,142229
1132,Washington,KY,47570,12267
1133,Wayne,KY,37963,19580
1134,Webster,KY,51507,12726
1135,Whitley,KY,44924,36825
1136,Wolfe,KY,48386,6282
1137,Woodford,KY,65575,27268
1138,Acadia,LA,48445,56489
1139,Allen,LA,44650,22112
1140,Ascension,LA,63811,131632
1141,Assumption,LA,63846,20160
1142,Avoyelles,LA,48298,38408
1143,Beauregard,LA,52717,36827
1144,Bienville,LA,48274,12366
1145,Bossier,LA,56326,129795
1146,Caddo,LA,64383,226386
1147,Calcasieu,LA,54129,203761
1148,Caldwell,LA,42350,9389
1149,Cameron,LA,65580,4768
1150,Catahoula,LA,47040,8414
1151,Claiborne,LA,44286,13670
1152,Concordia,LA,44999,17688
1153,De Soto,LA,57251,27114
1154,East Baton Rouge,LA,66726,448467
1155,East Carroll,LA,35475,6829
1156,East Feliciana,LA,50032,19229
1157,Evangeline,LA,43355,31754
1158,Franklin,LA,42154,19285
1159,Grant,LA,39914,21911
1160,Iberia,LA,49213,67659
1161,Iberville,LA,55730,29617
1162,Jackson,LA,44759,14746
1163,Jefferson,LA,63448,421777
1164,Jefferson Davis,LA,48106,31553
1165,Lafayette,LA,66179,249750
1166,Lafourche,LA,57643,95056
1167,LaSalle,LA,40622,14800
1168,Lincoln,LA,50986,47962
1169,Livingston,LA,52193,150145
1170,Madison,LA,44624,9246
1171,Morehouse,LA,45316,23955
1172,Natchitoches,LA,52510,36291
1173,Orleans,LA,67403,364136
1174,Ouachita,LA,49818,157568
1175,Plaquemines,LA,58920,22386
1176,Pointe Coupee,LA,60708,20000
1177,Rapides,LA,56169,126260
1178,Red River,LA,59240,7356
1179,Richland,LA,47254,19712
1180,Sabine,LA,48715,21906
1181,St. Bernard,LA,43959,44463
1182,St. Charles,LA,60180,50620
1183,St. Helena,LA,48813,10774
1184,St. James,LA,70185,19191
1185,St. John the Baptist,LA,47598,39592
1186,St. Landry,LA,48881,81464
1187,St. Martin,LA,48737,51057
1188,St. Mary,LA,51224,47055
1189,St. Tammany,LA,78246,275583
1190,Tangipahoa,LA,50875,138064
1191,Tensas,LA,49739,3764
1192,Terrebonne,LA,53834,103616
1193,Union,LA,49698,20650
1194,Vermilion,LA,49563,56992
1195,Vernon,LA,50611,46250
1196,Washington,LA,44615,44865
1197,Webster,LA,54025,35238
1198,West Baton Rouge,LA,57094,28266
1199,West Carroll,LA,44689,9323
1200,West Feliciana,LA,47362,15371
1201,Winn,LA,49490,13216
1202,Androscoggin,ME,53731,113765
1203,Aroostook,ME,53650,67351
1204,Cumberland,ME,84606,310230
1205,Franklin,ME,50394,30828
1206,Hancock,ME,68181,56526
1207,Kennebec,ME,58278,127259
1208,Knox,ME,67794,40977
1209,Lincoln,ME,66465,36507
1210,Oxford,ME,50165,59905
1211,Penobscot,ME,53978,155312
1212,Piscataquis,ME,54776,17486
1213,Sagadahoc,ME,67538,37513
1214,Somerset,ME,50486,51302
1215,Waldo,ME,56702,40620
1216,Washington,ME,52366,31555
1217,York,ME,70640,218586
1218,Allegany,MD,49182,67273
1219,Anne Arundel,MD,84019,594582
1220,Baltimore,MD,74738,844703
1221,Calvert,MD,76018,94728
1222,Caroline,MD,56447,33593
1223,Carroll,MD,74895,176639
1224,Cecil,MD,59373,105672
1225,Charles,MD,66642,171973
1226,Dorchester,MD,57060,32879
1227,Frederick,MD,76664,293391
1228,Garrett,MD,57525,28423
1229,Harford,MD,71196,264644
1230,Howard,MD,95529,336001
1231,Kent,MD,77025,19303
1232,Montgomery,MD,100044,1058474
1233,Prince George's,MD,57096,947430
1234,Queen Anne's,MD,83650,52508
1235,St. Mary's,MD,70353,115281
1236,Somerset,MD,37345,24910
1237,Talbot,MD,98166,37823
1238,Washington,MD,56174,155813
1239,Wicomico,MD,48596,104800
1240,Worcester,MD,68163,54171
1241,Baltimore (Independent City),MD,64357,565239
1242,Barnstable,MA,92417,231735
1243,Berkshire,MA,70945,126818
1244,Bristol,MA,67109,581841
1245,Dukes,MA,98605,20819
1246,Essex,MA,84017,810089
1247,Franklin,MA,67327,70836
1248,Hampden,MA,64105,460291
1249,Hampshire,MA,63544,162502
1250,Middlesex,MA,108773,1623952
1251,Nantucket,MA,120333,14444
1252,Norfolk,MA,115585,727473
1253,Plymouth,MA,84693,535308
1254,Suffolk,MA,107027,768425
1255,Worcester,MA,69301,866866
1256,Alcona,MI,50791,10489
1257,Alger,MI,44619,8757
1258,Allegan,MI,58048,121939
1259,Alpena,MI,51634,28904
1260,Antrim,MI,59391,24409
1261,Arenac,MI,49129,15145
1262,Baraga,MI,43301,8310
1263,Barry,MI,59401,63808
1264,Bay,MI,52579,102500
1265,Benzie,MI,60458,18441
1266,Berrien,MI,61127,152261
1267,Branch,MI,44833,45215
1268,Calhoun,MI,47947,133366
1269,Cass,MI,57612,51642
1270,Charlevoix,MI,71589,26159
1271,Cheboygan,MI,50689,26048
1272,Chippewa,MI,46492,36264
1273,Clare,MI,43823,31316
1274,Clinton,MI,60589,79720
1275,Crawford,MI,43627,13538
1276,Delta,MI,47667,36790
1277,Dickinson,MI,57116,25982
1278,Eaton,MI,54197,108820
1279,Emmet,MI,75812,34123
1280,Genesee,MI,52520,401522
1281,Gladwin,MI,46537,25853
1282,Gogebic,MI,51349,14224
1283,Grand Traverse,MI,67800,96421
1284,Gratiot,MI,45517,41368
1285,Hillsdale,MI,44820,45587
1286,Houghton,MI,45077,37599
1287,Huron,MI,61320,30927
1288,Ingham,MI,52560,284637
1289,Ionia,MI,43547,66262
1290,Iosco,MI,48318,25373
1291,Iron,MI,50425,11740
1292,Isabella,MI,48011,64118
1293,Jackson,MI,48818,159424
1294,Kalamazoo,MI,63668,262215
1295,Kalkaska,MI,45992,18490
1296,Kent,MI,70662,661354
1297,Keweenaw,MI,60716,2172
1298,Lake,MI,38030,12734
1299,Lapeer,MI,53743,88977
1300,Leelanau,MI,85936,23019
1301,Lenawee,MI,51391,97520
1302,Livingston,MI,73173,196757
1303,Luce,MI,36921,6435
1304,Mackinac,MI,58255,10851
1305,Macomb,MI,58565,875101
1306,Manistee,MI,48967,25562
1307,Marquette,MI,49300,66999
1308,Mason,MI,50216,29159
1309,Mecosta,MI,45437,41099
1310,Menominee,MI,50410,22945
1311,Midland,MI,64106,84039
1312,Missaukee,MI,45640,15311
1313,Monroe,MI,59956,155045
1314,Montcalm,MI,42499,68154
1315,Montmorency,MI,44409,9678
1316,Muskegon,MI,49244,176564
1317,Newaygo,MI,46317,51108
1318,Oakland,MI,90781,1270426
1319,Oceana,MI,48691,26981
1320,Ogemaw,MI,42668,20990
1321,Ontonagon,MI,49622,5906
1322,Osceola,MI,49882,23330
1323,Oscoda,MI,46389,8545
1324,Otsego,MI,51685,25747
1325,Ottawa,MI,63265,303372
1326,Presque Isle,MI,50126,13285
1327,Roscommon,MI,47034,23863
1328,Saginaw,MI,50278,187782
1329,St. Clair,MI,55834,159874
1330,St. Joseph,MI,49695,60878
1331,Sanilac,MI,50153,40368
1332,Schoolcraft,MI,48919,8149
1333,Shiawassee,MI,50443,68025
1334,Tuscola,MI,47501,52826
1335,Van Buren,MI,52427,75798
1336,Washtenaw,MI,77537,365536
1337,Wayne,MI,52727,1751169
1338,Wexford,MI,45996,34122
1339,Aitkin,MN,51695,16102
1340,Anoka,MN,62935,372441
1341,Becker,MN,60360,35283
1342,Beltrami,MN,53382,46718
1343,Benton,MN,56137,41600
1344,Big Stone,MN,66381,5105
1345,Blue Earth,MN,55016,70006
1346,Brown,MN,64232,25628
1347,Carlton,MN,52392,36825
1348,Carver,MN,93242,111057
1349,Cass,MN,57880,31446
1350,Chippewa,MN,56174,12172
1351,Chisago,MN,62286,58535
1352,Clay,MN,53925,66258
1353,Clearwater,MN,54531,8644
1354,Cook,MN,65513,5639
1355,Cottonwood,MN,59882,11319
1356,Crow Wing,MN,56919,68304
1357,Dakota,MN,75019,447440
1358,Dodge,MN,60718,21088
1359,Douglas,MN,65827,39953
1360,Faribault,MN,55356,13873
1361,Fillmore,MN,56844,21522
1362,Freeborn,MN,56100,30515
1363,Goodhue,MN,65921,48035
1364,Grant,MN,58301,6139
1365,Hennepin,MN,95574,1258713
1366,Houston,MN,63545,18582
1367,Hubbard,MN,57515,22132
1368,Isanti,MN,55537,43182
1369,Itasca,MN,54574,45365
1370,Jackson,MN,61129,9919
1371,Kanabec,MN,51455,16602
1372,Kandiyohi,MN,61664,43813
1373,Kittson,MN,64925,4060
1374,Koochiching,MN,55115,11751
1375,Lac qui Parle,MN,66536,6630
1376,Lake,MN,57668,10855
1377,Lake of the Woods,MN,64010,3778
1378,Le Sueur,MN,63719,29255
1379,Lincoln,MN,60182,5521
1380,Lyon,MN,61228,25427
1381,McLeod,MN,61496,36785
1382,Mahnomen,MN,48138,5280
1383,Marshall,MN,72481,8810
1384,Martin,MN,60933,19657
1385,Meeker,MN,56379,23490
1386,Mille Lacs,MN,53553,27427
1387,Morrison,MN,53069,34250
1388,Mower,MN,56722,40058
1389,Murray,MN,67663,8049
1390,Nicollet,MN,60524,34242
1391,Nobles,MN,57743,21727
1392,Norman,MN,53560,6329
1393,Olmsted,MN,71904,164784
1394,Otter Tail,MN,59478,60626
1395,Pennington,MN,68190,13714
1396,Pine,MN,46122,30197
1397,Pipestone,MN,69853,9245
1398,Polk,MN,60175,30412
1399,Pope,MN,63885,11400
1400,Ramsey,MN,69310,536075
1401,Red Lake,MN,67464,3911
1402,Redwood,MN,76945,15288
1403,Renville,MN,62855,14348
1404,Rice,MN,55702,67948
1405,Rock,MN,61899,9551
1406,Roseau,MN,61800,15252
1407,St. Louis,MN,59235,200514
1408,Scott,MN,81213,155814
1409,Sherburne,MN,59643,102206
1410,Sibley,MN,60166,15084
1411,Stearns,MN,63053,160977
1412,Steele,MN,58222,37421
1413,Stevens,MN,57718,9728
1414,Swift,MN,69348,9719
1415,Todd,MN,62276,25667
1416,Traverse,MN,82905,3136
1417,Wabasha,MN,62412,21683
1418,Wadena,MN,49621,14241
1419,Waseca,MN,60130,18981
1420,Washington,MN,84018,278936
1421,Watonwan,MN,55976,11077
1422,Wilkin,MN,74577,6306
1423,Winona,MN,58318,49721
1424,Wright,MN,65241,151150
1425,Yellow Medicine,MN,71912,9467
1426,Adams,MS,45973,28746
1427,Alcorn,MS,47651,34135
1428,Amite,MS,42205,12442
1429,Attala,MS,42656,17359
1430,Benton,MS,45081,7438
1431,Bolivar,MS,51015,28968
1432,Calhoun,MS,42728,12685
1433,Carroll,MS,45400,9535
1434,Chickasaw,MS,39952,16866
1435,Choctaw,MS,42655,8088
1436,Claiborne,MS,38756,8617
1437,Clarke,MS,46428,15228
1438,Clay,MS,51599,18206
1439,Coahoma,MS,47742,20077
1440,Copiah,MS,42003,27664
1441,Covington,MS,47970,18059
1442,DeSoto,MS,56470,193247
1443,Forrest,MS,45405,78208
1444,Franklin,MS,42359,7610
1445,George,MS,41804,25619
1446,Greene,MS,34362,13601
1447,Grenada,MS,44304,21065
1448,Hancock,MS,48425,46159
1449,Harrison,MS,48902,210612
1450,Hinds,MS,51350,214870
1451,Holmes,MS,38193,15777
1452,Humphreys,MS,43876,7216
1453,Issaquena,MS,36046,1256
1454,Itawamba,MS,42737,24093
1455,Jackson,MS,48028,146389
1456,Jasper,MS,45999,16013
1457,Jefferson,MS,41876,6941
1458,Jefferson Davis,MS,40428,10969
1459,Jones,MS,49765,66250
1460,Kemper,MS,39625,8584
1461,Lafayette,MS,52791,58467
1462,Lamar,MS,51997,66217
1463,Lauderdale,MS,50952,70527
1464,Lawrence,MS,45871,11741
1465,Leake,MS,41066,21258
1466,Lee,MS,54255,82799
1467,Leflore,MS,51319,26378
1468,Lincoln,MS,47781,34702
1469,Lowndes,MS,51172,57283
1470,Madison,MS,86331,112511
1471,Marion,MS,42902,24224
1472,Marshall,MS,46470,34123
1473,Monroe,MS,44517,33609
1474,Montgomery,MS,42976,9600
1475,Neshoba,MS,47423,28789
1476,Newton,MS,41357,21019
1477,Noxubee,MS,44881,9914
1478,Oktibbeha,MS,42241,51203
1479,Panola,MS,43391,32669
1480,Pearl River,MS,47020,57978
1481,Perry,MS,40688,11315
1482,Pike,MS,39426,39394
1483,Pontotoc,MS,43359,31535
1484,Prentiss,MS,39413,25135
1485,Quitman,MS,44213,5546
1486,Rankin,MS,56864,160417
1487,Scott,MS,39510,27507
1488,Sharkey,MS,57998,3336
1489,Simpson,MS,47645,25715
1490,Smith,MS,47687,14099
1491,Stone,MS,42642,18756
1492,Sunflower,MS,39498,24468
1493,Tallahatchie,MS,44389,11837
1494,Tate,MS,47426,28261
1495,Tippah,MS,45880,21287
1496,Tishomingo,MS,45018,18507
1497,Tunica,MS,48516,9234
1498,Union,MS,42339,28284
1499,Walthall,MS,38989,13863
1500,Warren,MS,52095,42298
1501,Washington,MS,48299,41946
1502,Wayne,MS,46161,19703
1503,Webster,MS,47027,9988
1504,Wilkinson,MS,38503,8058
1505,Winston,MS,46075,17416
1506,Yalobusha,MS,44057,12386
1507,Yazoo,MS,38819,25796
1508,Adair,MO,40269,25122
1509,Andrew,MO,54504,18127
1510,Atchison,MO,56745,5107
1511,Audrain,MO,49114,24394
1512,Barry,MO,45250,35265
1513,Barton,MO,46659,11731
1514,Bates,MO,51168,16242
1515,Benton,MO,46819,20552
1516,Bollinger,MO,48705,10544
1517,Boone,MO,60158,189463
1518,Buchanan,MO,51741,82956
1519,Butler,MO,46048,41948
1520,Caldwell,MO,47876,8955
1521,Callaway,MO,50652,44731
1522,Camden,MO,55182,44044
1523,Cape Girardeau,MO,54568,82984
1524,Carroll,MO,62919,8391
1525,Carter,MO,50444,5303
1526,Cass,MO,59720,111732
1527,Cedar,MO,40183,14672
1528,Chariton,MO,55540,7399
1529,Christian,MO,52867,94422
1530,Clark,MO,46719,6641
1531,Clay,MO,60043,259772
1532,Clinton,MO,52880,21548
1533,Cole,MO,61479,77278
1534,Cooper,MO,54107,16947
1535,Crawford,MO,48462,22719
1536,Dade,MO,46071,7716
1537,Dallas,MO,42354,17768
1538,Daviess,MO,40834,8551
1539,DeKalb,MO,45223,9899
1540,Dent,MO,45672,14647
1541,Douglas,MO,39205,12228
1542,Dunklin,MO,46434,27032
1543,Franklin,MO,57522,106404
1544,Gasconade,MO,51240,14705
1545,Gentry,MO,52620,6287
1546,Greene,MO,56350,304611
1547,Grundy,MO,44052,9815
1548,Harrison,MO,46633,8220
1549,Henry,MO,53157,22485
1550,Hickory,MO,43094,8718
1551,Holt,MO,63237,4248
1552,Howard,MO,52740,10101
1553,Howell,MO,44649,40735
1554,Iron,MO,45057,9440
1555,Jackson,MO,57518,718560
1556,Jasper,MO,47246,125056
1557,Jefferson,MO,55195,231230
1558,Johnson,MO,46540,54962
1559,Knox,MO,49243,3723
1560,Laclede,MO,48249,36680
1561,Lafayette,MO,54277,33196
1562,Lawrence,MO,41827,38872
1563,Lewis,MO,45237,9818
1564,Lincoln,MO,53300,64699
1565,Linn,MO,49005,11791
1566,Livingston,MO,51058,14557
1567,McDonald,MO,38681,23903
1568,Macon,MO,54255,15161
1569,Madison,MO,45426,12698
1570,Maries,MO,45031,8430
1571,Marion,MO,52951,28336
1572,Mercer,MO,41562,3469
1573,Miller,MO,47083,25590
1574,Mississippi,MO,43102,11822
1575,Moniteau,MO,51834,15256
1576,Monroe,MO,56061,8698
1577,Montgomery,MO,54811,11459
1578,Morgan,MO,48877,21970
1579,New Madrid,MO,52752,15424
1580,Newton,MO,48357,60677
1581,Nodaway,MO,44338,20695
1582,Oregon,MO,47150,8720
1583,Osage,MO,56696,13468
1584,Ozark,MO,43767,8970
1585,Pemiscot,MO,49792,14613
1586,Perry,MO,53134,18950
1587,Pettis,MO,47237,43530
1588,Phelps,MO,48382,45284
1589,Pike,MO,45058,17935
1590,Platte,MO,73531,111940
1591,Polk,MO,46061,32780
1592,Pulaski,MO,48289,53812
1593,Putnam,MO,47948,4638
1594,Ralls,MO,52110,10489
1595,Randolph,MO,55106,24109
1596,Ray,MO,51625,23182
1597,Reynolds,MO,43956,5950
1598,Ripley,MO,48138,10806
1599,St. Charles,MO,69693,416659
1600,St. Clair,MO,40376,9752
1601,Ste. Genevieve,MO,50899,18642
1602,St. Francois,MO,45576,67058
1603,St. Louis,MO,101151,987059
1604,Saline,MO,51636,23049
1605,Schuyler,MO,45054,4053
1606,Scotland,MO,53928,4676
1607,Scott,MO,53227,37889
1608,Shannon,MO,43901,7238
1609,Shelby,MO,52995,5931
1610,Stoddard,MO,47497,28397
1611,Stone,MO,51791,32658
1612,Sullivan,MO,50451,5797
1613,Taney,MO,48862,56775
1614,Texas,MO,39031,25619
1615,Vernon,MO,47572,19710
1616,Warren,MO,55061,37806
1617,Washington,MO,40328,23534
1618,Wayne,MO,46365,10811
1619,Webster,MO,43890,41472
1620,Worth,MO,47533,1907
1621,Wright,MO,40817,19403
1622,St. Louis (Independent City),MO,63316,281754
1623,Beaverhead,MT,59595,9885
1624,Big Horn,MT,39605,12751
1625,Blaine,MT,38079,6899
1626,Broadwater,MT,55371,8032
1627,Carbon,MT,68244,11419
1628,Carter,MT,44997,1418
1629,Cascade,MT,60126,84900
1630,Chouteau,MT,56448,5847
1631,Custer,MT,55578,11985
1632,Daniels,MT,60973,1633
1633,Dawson,MT,53091,8810
1634,Deer Lodge,MT,51110,9673
1635,Fallon,MT,55859,2994
1636,Fergus,MT,54647,11772
1637,Flathead,MT,68725,113679
1638,Gallatin,MT,87254,126409
1639,Garfield,MT,48179,1211
1640,Glacier,MT,48573,13609
1641,Golden Valley,MT,55872,835
1642,Granite,MT,53768,3595
1643,Hill,MT,55344,16276
1644,Jefferson,MT,63881,13048
1645,Judith Basin,MT,58342,2093
1646,Lake,MT,49027,33338
1647,Lewis and Clark,MT,62214,75011
1648,Liberty,MT,71171,1974
1649,Lincoln,MT,47487,21895
1650,McCone,MT,51063,1676
1651,Madison,MT,75313,9521
1652,Meagher,MT,57679,2071
1653,Mineral,MT,48250,5090
1654,Missoula,MT,68344,121849
1655,Musselshell,MT,51852,5308
1656,Park,MT,67131,17903
1657,Petroleum,MT,38300,554
1658,Phillips,MT,45314,4249
1659,Pondera,MT,65512,6125
