Category,Value
AP Pass Rate (3 or higher),62.4
AP Score Mean (out of 5),3.0
Total No. AP Exams,150763.0
Offer 5+ Exams (%),70.0
Asian Participation (%),56.0
Hispanic/Latino Participation (%),15.0
White Participation (%),21.0
Black or African American Participation (%),10.0
Native American or Alaska Native Participation (%),40.0
Native Hawaiian or other Pacific Islander Participation (%),17.0
Two or More Races Participation (%),24.0
