Category,Value
AP Pass Rate (3 or higher),57.4
AP Score Mean (out of 5),2.8
Total No. AP Exams,121919.0
Offer 5+ Exams (%),55.0
Asian Participation (%),53.0
Hispanic or Latino Participation (%),13.0
White Participation (%),22.0
Black or African American Participation (%),9.0
Native American or Alaska Native Participation (%),13.0
Native Hawaiian or other Pacific Islander Participation (%),13.0
Two or More Races Participation (%),20.0
