Category,Value
AP Pass Rate (3 or higher),66.2
AP Score Mean (out of 5),3.1
Total No. AP Exams,66935.0
Offer 5+ Exams (%),54.0
Asian Participation (%),28.0
Hispanic or Latino Participation (%),12.0
White Participation (%),20.0
Black or African American Participation (%),6.0
Native American or Alaska Native Participation (%),15.0
Native Hawaiian or other Pacific Islander Participation (%),20.0
Two or More Races Participation (%),17.0
